x,y,t,u
0,0,20000,1
0,1,20000,1
0,2,20000,1
0,3,20000,1
0,4,20000,1
0,5,20000,1
0,6,20000,1
0,7,20000,1
0,8,20000,1
0,9,20000,1
0,10,20000,1
0,11,20000,1
0,12,20000,1
0,13,20000,1
0,14,20000,1
0,15,20000,1
0,16,20000,1
0,17,20000,1
0,18,20000,1
0,19,20000,1
0,20,20000,1
0,21,20000,1
0,22,20000,1
0,23,20000,1
0,24,20000,1
0,25,20000,1
0,26,20000,1
0,27,20000,1
0,28,20000,1
0,29,20000,1
0,30,20000,1
0,31,20000,1
0,32,20000,1
0,33,20000,1
0,34,20000,1
0,35,20000,1
0,36,20000,1
0,37,20000,1
0,38,20000,1
0,39,20000,1
0,40,20000,1
0,41,20000,1
0,42,20000,1
0,43,20000,1
0,44,20000,1
0,45,20000,1
0,46,20000,1
0,47,20000,1
0,48,20000,1
0,49,20000,1
0,50,20000,1
0,51,20000,1
0,52,20000,1
0,53,20000,1
0,54,20000,1
0,55,20000,1
0,56,20000,1
0,57,20000,1
0,58,20000,1
0,59,20000,1
0,60,20000,1
0,61,20000,1
0,62,20000,1
0,63,20000,1
0,64,20000,1
0,65,20000,1
0,66,20000,1
0,67,20000,1
0,68,20000,1
0,69,20000,1
0,70,20000,1
0,71,20000,1
0,72,20000,1
0,73,20000,1
0,74,20000,1
0,75,20000,1
0,76,20000,1
0,77,20000,1
0,78,20000,1
0,79,20000,1
0,80,20000,1
0,81,20000,1
0,82,20000,1
0,83,20000,1
0,84,20000,1
0,85,20000,1
0,86,20000,1
0,87,20000,1
0,88,20000,1
0,89,20000,1
0,90,20000,1
0,91,20000,1
0,92,20000,1
0,93,20000,1
0,94,20000,1
0,95,20000,1
0,96,20000,1
0,97,20000,1
0,98,20000,1
0,99,20000,1
0,100,20000,1
1,0,20000,0
1,1,20000,0.342934
1,2,20000,0.452343
1,3,20000,0.552842
1,4,20000,0.62322
1,5,20000,0.676345
1,6,20000,0.716939
1,7,20000,0.748775
1,8,20000,0.774273
1,9,20000,0.795093
1,10,20000,0.812383
1,11,20000,0.826952
1,12,20000,0.839386
1,13,20000,0.850115
1,14,20000,0.859461
1,15,20000,0.86767
1,16,20000,0.874933
1,17,20000,0.881401
1,18,20000,0.887191
1,19,20000,0.8924
1,20,20000,0.897107
1,21,20000,0.901376
1,22,20000,0.90526
1,23,20000,0.908804
1,24,20000,0.912046
1,25,20000,0.915018
1,26,20000,0.917746
1,27,20000,0.920255
1,28,20000,0.922565
