x,y,t,u
0,0,10000,1
0,1,10000,1
0,2,10000,1
0,3,10000,1
0,4,10000,1
0,5,10000,1
0,6,10000,1
0,7,10000,1
0,8,10000,1
0,9,10000,1
0,10,10000,1
0,11,10000,1
0,12,10000,1
0,13,10000,1
0,14,10000,1
0,15,10000,1
0,16,10000,1
0,17,10000,1
0,18,10000,1
0,19,10000,1
0,20,10000,1
0,21,10000,1
0,22,10000,1
0,23,10000,1
0,24,10000,1
0,25,10000,1
0,26,10000,1
0,27,10000,1
0,28,10000,1
0,29,10000,1
0,30,10000,1
0,31,10000,1
0,32,10000,1
0,33,10000,1
0,34,10000,1
0,35,10000,1
0,36,10000,1
0,37,10000,1
0,38,10000,1
0,39,10000,1
0,40,10000,1
0,41,10000,1
0,42,10000,1
0,43,10000,1
0,44,10000,1
0,45,10000,1
0,46,10000,1
0,47,10000,1
0,48,10000,1
0,49,10000,1
0,50,10000,1
0,51,10000,1
0,52,10000,1
0,53,10000,1
0,54,10000,1
0,55,10000,1
0,56,10000,1
0,57,10000,1
0,58,10000,1
0,59,10000,1
0,60,10000,1
0,61,10000,1
0,62,10000,1
0,63,10000,1
0,64,10000,1
0,65,10000,1
0,66,10000,1
0,67,10000,1
0,68,10000,1
0,69,10000,1
0,70,10000,1
0,71,10000,1
0,72,10000,1
0,73,10000,1
0,74,10000,1
0,75,10000,1
0,76,10000,1
0,77,10000,1
0,78,10000,1
0,79,10000,1
0,80,10000,1
0,81,10000,1
0,82,10000,1
0,83,10000,1
0,84,10000,1
0,85,10000,1
0,86,10000,1
0,87,10000,1
0,88,10000,1
0,89,10000,1
0,90,10000,1
0,91,10000,1
0,92,10000,1
0,93,10000,1
0,94,10000,1
0,95,10000,1
0,96,10000,1
0,97,10000,1
0,98,10000,1
0,99,10000,1
0,100,10000,1
1,0,10000,0
1,1,10000,0.342935
1,2,10000,0.452344
1,3,10000,0.552844
1,4,10000,0.623222
1,5,10000,0.676348
1,6,10000,0.716942
1,7,10000,0.748778
1,8,10000,0.774276
1,9,10000,0.795096
1,10,10000,0.812385
1,11,10000,0.826954
1,12,10000,0.839387
1,13,10000,0.850115
1,14,10000,0.859459
1,15,10000,0.867667
1,16,10000,0.874929
1,17,10000,0.881394
1,18,10000,0.887183
1,19,10000,0.89239
1,20,10000,0.897094
1,21,10000,0.901361
1,22,10000,0.905242
1,23,10000,0.908784
1,24,10000,0.912023
1,25,10000,0.914992
1,26,10000,0.917718
1,27,10000,0.920224
1,28,10000,0.922531
1,29,10000,0.924657
1,30,10000,0.926616
1,31,10000,0.928422
1,32,10000,0.930087
1,33,10000,0.931621
1,34,10000,0.933033
1,35,10000,0.934332
1,36,10000,0.935524
1,37,10000,0.936616
1,38,10000,0.937613
1,39,10000,0.93852
1,40,10000,0.939341
1,41,10000,0.940082
1,42,10000,0.940744
1,43,10000,0.94133
1,44,10000,0.941844
1,45,10000,0.942288
1,46,10000,0.942663
1,47,10000,0.94297
1,48,10000,0.943212
1,49,10000,0.943388
1,50,10000,0.9435
1,51,10000,0.943548
1,52,10000,0.943532
1,53,10000,0.943451
1,54,10000,0.943305
1,55,10000,0.943094
1,56,10000,0.942815
1,57,10000,0.942468
1,58,10000,0.94205
1,59,10000,0.94156
1,60,10000,0.940994
1,61,10000,0.940349
1,62,10000,0.939623
1,63,10000,0.93881
1,64,10000,0.937907
1,65,10000,0.936907
1,66,10000,0.935804
1,67,10000,0.934592
1,68,10000,0.933262
1,69,10000,0.931806
1,70,10000,0.930212
1,71,10000,0.92847
1,72,10000,0.926565
1,73,10000,0.924483
1,74,10000,0.922204
1,75,10000,0.919709
1,76,10000,0.916973
1,77,10000,0.913968
1,78,10000,0.910661
1,79,10000,0.907013
1,80,10000,0.902979
1,81,10000,0.898503
1,82,10000,0.893519
1,83,10000,0.887945
1,84,10000,0.881684
1,85,10000,0.874613
1,86,10000,0.866576
1,87,10000,0.85738
1,88,10000,0.846772
1,89,10000,0.834422
1,90,10000,0.81989
1,91,10000,0.80258
1,92,10000,0.781667
1,93,10000,0.755983
1,94,10000,0.723844
1,95,10000,0.682806
1,96,10000,0.629037
1,97,10000,0.557887
1,98,10000,0.45595
1,99,10000,0.345829
1,100,10000,0
2,0,10000,0
2,1,10000,0.11692
2,2,10000,0.193538
2,3,10000,0.287842
2,4,10000,0.36803
2,5,10000,0.436573
2,6,10000,0.493872
2,7,10000,0.541859
2,8,10000,0.582227
2,9,10000,0.616441
2,10,10000,0.645679
2,11,10000,0.670875
2,12,10000,0.692762
2,13,10000,0.711919
2,14,10000,0.728802
2,15,10000,0.743775
2,16,10000,0.75713
2,17,10000,0.769103
2,18,10000,0.779884
2,19,10000,0.789634
2,20,10000,0.798482
2,21,10000,0.806538
2,22,10000,0.813893
2,23,10000,0.820625
2,24,10000,0.8268
2,25,10000,0.832474
2,26,10000,0.837696
2,27,10000,0.842509
2,28,10000,0.846948
2,29,10000,0.851045
2,30,10000,0.854829
2,31,10000,0.858323
2,32,10000,0.861549
2,33,10000,0.864526
2,34,10000,0.867272
2,35,10000,0.8698
2,36,10000,0.872124
2,37,10000,0.874256
2,38,10000,0.876206
2,39,10000,0.877983
2,40,10000,0.879596
2,41,10000,0.881052
2,42,10000,0.882356
2,43,10000,0.883516
2,44,10000,0.884535
2,45,10000,0.885417
2,46,10000,0.886166
2,47,10000,0.886785
2,48,10000,0.887276
2,49,10000,0.887641
2,50,10000,0.887881
2,51,10000,0.887996
2,52,10000,0.887987
2,53,10000,0.887853
2,54,10000,0.887592
2,55,10000,0.887204
2,56,10000,0.886686
2,57,10000,0.886035
2,58,10000,0.885248
2,59,10000,0.884321
2,60,10000,0.883247
2,61,10000,0.882022
2,62,10000,0.880639
2,63,10000,0.879091
2,64,10000,0.877367
2,65,10000,0.875458
