x,y,t,u
0,0,15000,1
0,1,15000,1
0,2,15000,1
0,3,15000,1
0,4,15000,1
0,5,15000,1
0,6,15000,1
0,7,15000,1
0,8,15000,1
0,9,15000,1
0,10,15000,1
0,11,15000,1
0,12,15000,1
0,13,15000,1
0,14,15000,1
0,15,15000,1
0,16,15000,1
0,17,15000,1
0,18,15000,1
0,19,15000,1
0,20,15000,1
0,21,15000,1
0,22,15000,1
0,23,15000,1
0,24,15000,1
0,25,15000,1
0,26,15000,1
0,27,15000,1
0,28,15000,1
0,29,15000,1
0,30,15000,1
0,31,15000,1
0,32,15000,1
0,33,15000,1
0,34,15000,1
0,35,15000,1
0,36,15000,1
0,37,15000,1
0,38,15000,1
0,39,15000,1
0,40,15000,1
0,41,15000,1
0,42,15000,1
0,43,15000,1
0,44,15000,1
0,45,15000,1
0,46,15000,1
0,47,15000,1
0,48,15000,1
0,49,15000,1
0,50,15000,1
0,51,15000,1
0,52,15000,1
0,53,15000,1
0,54,15000,1
0,55,15000,1
0,56,15000,1
0,57,15000,1
0,58,15000,1
0,59,15000,1
0,60,15000,1
0,61,15000,1
0,62,15000,1
0,63,15000,1
0,64,15000,1
0,65,15000,1
0,66,15000,1
0,67,15000,1
0,68,15000,1
0,69,15000,1
0,70,15000,1
0,71,15000,1
0,72,15000,1
0,73,15000,1
0,74,15000,1
0,75,15000,1
0,76,15000,1
0,77,15000,1
0,78,15000,1
0,79,15000,1
0,80,15000,1
0,81,15000,1
0,82,15000,1
0,83,15000,1
0,84,15000,1
0,85,15000,1
0,86,15000,1
0,87,15000,1
0,88,15000,1
0,89,15000,1
0,90,15000,1
0,91,15000,1
0,92,15000,1
0,93,15000,1
0,94,15000,1
0,95,15000,1
0,96,15000,1
0,97,15000,1
0,98,15000,1
0,99,15000,1
0,100,15000,1
1,0,15000,0
1,1,15000,0.342934
1,2,15000,0.452343
1,3,15000,0.552842
1,4,15000,0.62322
1,5,15000,0.676345
1,6,15000,0.716939
1,7,15000,0.748775
1,8,15000,0.774273
1,9,15000,0.795094
1,10,15000,0.812383
1,11,15000,0.826952
1,12,15000,0.839386
1,13,15000,0.850115
1,14,15000,0.859461
1,15,15000,0.86767
1,16,15000,0.874933
1,17,15000,0.8814
1,18,15000,0.88719
1,19,15000,0.892399
1,20,15000,0.897106
1,21,15000,0.901375
1,22,15000,0.905259
1,23,15000,0.908803
1,24,15000,0.912044
1,25,15000,0.915016
1,26,15000,0.917744
1,27,15000,0.920253
1,28,15000,0.922563
1,29,15000,0.924691
1,30,15000,0.926653
1,31,15000,0.928461
1,32,15000,0.930129
1,33,15000,0.931665
1,34,15000,0.93308
1,35,15000,0.934381
1,36,15000,0.935575
1,37,15000,0.936668
1,38,15000,0.937667
1,39,15000,0.938576
1,40,15000,0.9394
1,41,15000,0.940141
1,42,15000,0.940804
1,43,15000,0.941392
1,44,15000,0.941907
1,45,15000,0.942352
1,46,15000,0.942727
1,47,15000,0.943036
1,48,15000,0.943278
1,49,15000,0.943454
1,50,15000,0.943566
1,51,15000,0.943614
1,52,15000,0.943598
1,53,15000,0.943517
1,54,15000,0.94337
1,55,15000,0.943158
1,56,15000,0.942878
1,57,15000,0.94253
1,58,15000,0.942111
1,59,15000,0.94162
1,60,15000,0.941053
1,61,15000,0.940407
1,62,15000,0.939679
1,63,15000,0.938865
1,64,15000,0.937959
1,65,15000,0.936957
1,66,15000,0.935853
1,67,15000,0.934639
1,68,15000,0.933307
1,69,15000,0.931849
1,70,15000,0.930253
1,71,15000,0.928509
1,72,15000,0.926602
1,73,15000,0.924517
1,74,15000,0.922236
1,75,15000,0.919739
1,76,15000,0.917001
1,77,15000,0.913993
1,78,15000,0.910685
1,79,15000,0.907035
1,80,15000,0.902999
1,81,15000,0.898521
1,82,15000,0.893534
1,83,15000,0.887959
1,84,15000,0.881696
1,85,15000,0.874623
1,86,15000,0.866585
1,87,15000,0.857388
1,88,15000,0.846778
1,89,15000,0.834427
1,90,15000,0.819894
1,91,15000,0.802583
1,92,15000,0.781668
1,93,15000,0.755984
1,94,15000,0.723845
1,95,15000,0.682806
1,96,15000,0.629037
1,97,15000,0.557886
1,98,15000,0.45595
1,99,15000,0.345829
1,100,15000,0
2,0,15000,0
2,1,15000,0.11692
2,2,15000,0.193536
2,3,15000,0.28784
2,4,15000,0.368027
2,5,15000,0.43657
2,6,15000,0.493868
2,7,15000,0.541855
2,8,15000,0.582223
2,9,15000,0.616438
2,10,15000,0.645677
2,11,15000,0.670873
2,12,15000,0.692762
2,13,15000,0.711921
2,14,15000,0.728807
2,15,15000,0.743783
2,16,15000,0.75714
2,17,15000,0.769116
2,18,15000,0.779902
2,19,15000,0.789655
2,20,15000,0.798507
2,21,15000,0.806567
2,22,15000,0.813927
2,23,15000,0.820663
2,24,15000,0.826843
2,25,15000,0.832522
2,26,15000,0.837749
2,27,15000,0.842567
2,28,15000,0.847011
2,29,15000,0.851113
2,30,15000,0.854901
2,31,15000,0.8584
2,32,15000,0.861631
2,33,15000,0.864613
2,34,15000,0.867363
2,35,15000,0.869895
2,36,15000,0.872223
2,37,15000,0.874359
2,38,15000,0.876313
2,39,15000,0.878093
2,40,15000,0.879709
2,41,15000,0.881168
2,42,15000,0.882475
2,43,15000,0.883637
2,44,15000,0.884658
2,45,15000,0.885542
2,46,15000,0.886293
2,47,15000,0.886913
2,48,15000,0.887405
2,49,15000,0.88777
2,50,15000,0.88801
2,51,15000,0.888125
2,52,15000,0.888116
2,53,15000,0.887981
2,54,15000,0.88772
2,55,15000,0.88733
2,56,15000,0.886811
2,57,15000,0.886158
2,58,15000,0.885369
2,59,15000,0.884439
2,60,15000,0.883363
2,61,15000,0.882136
2,62,15000,0.88075
2,63,15000,0.879198
2,64,15000,0.877471
2,65,15000,0.875559
2,66,15000,0.87345
2,67,15000,0.871132
2,68,15000,0.86859
2,69,15000,0.865806
2,70,15000,0.862762
2,71,15000,0.859436
2,72,15000,0.855803
2,73,15000,0.851835
2,74,15000,0.8475
2,75,15000,0.842758
2,76,15000,0.837569
2,77,15000,0.831881
2,78,15000,0.825635
2,79,15000,0.818765
2,80,15000,0.811188
2,81,15000,0.802811
2,82,15000,0.79352
2,83,15000,0.78318
2,84,15000,0.771626
2,85,15000,0.75866
2,86,15000,0.744037
2,87,15000,0.727456
2,88,15000,0.70854
2,89,15000,0.686817
2,90,15000,0.661689
2,91,15000,0.632396
2,92,15000,0.597973
2,93,15000,0.557199
2,94,15000,0.508553
2,95,15000,0.45027
2,96,15000,0.380291
2,97,15000,0.298168
2,98,15000,0.200935
2,99,15000,0.12142
2,100,15000,0
3,0,15000,0
3,1,15000,0.0329656
3,2,15000,0.0696616
3,3,15000,0.133205
3,4,15000,0.199441
3,5,15000,0.263862
3,6,15000,0.322909
3,7,15000,0.375798
3,8,15000,0.422608
3,9,15000,0.463864
3,10,15000,0.500219
3,11,15000,0.532322
3,12,15000,0.560764
3,13,15000,0.586061
3,14,15000,0.608654
3,15,15000,0.628915
3,16,15000,0.647155
3,17,15000,0.663639
3,18,15000,0.678585
3,19,15000,0.692181
3,20,15000,0.704585
3,21,15000,0.715929
3,22,15000,0.72633
3,23,15000,0.735884
3,24,15000,0.744677
3,25,15000,0.75278
3,26,15000,0.760259
3,27,15000,0.767168
3,28,15000,0.773555
3,29,15000,0.779463
3,30,15000,0.78493
3,31,15000,0.789988
3,32,15000,0.794666
3,33,15000,0.798991
3,34,15000,0.802984
3,35,15000,0.806668
3,36,15000,0.810059
3,37,15000,0.813175
3,38,15000,0.816029
3,39,15000,0.818634
3,40,15000,0.821002
3,41,15000,0.823143
3,42,15000,0.825064
3,43,15000,0.826776
3,44,15000,0.828283
3,45,15000,0.829591
3,46,15000,0.830706
3,47,15000,0.831631
3,48,15000,0.83237
3,49,15000,0.832925
3,50,15000,0.833298
3,51,15000,0.833489
3,52,15000,0.833498
3,53,15000,0.833324
3,54,15000,0.832967
3,55,15000,0.832424
3,56,15000,0.831691
3,57,15000,0.830765
3,58,15000,0.829641
3,59,15000,0.828312
3,60,15000,0.826772
3,61,15000,0.825012
3,62,15000,0.823023
3,63,15000,0.820793
3,64,15000,0.818312
3,65,15000,0.815564
3,66,15000,0.812533
3,67,15000,0.809202
3,68,15000,0.80555
3,69,15000,0.801553
3,70,15000,0.797186
3,71,15000,0.792418
3,72,15000,0.787216
3,73,15000,0.78154
3,74,15000,0.775347
3,75,15000,0.768587
3,76,15000,0.761202
3,77,15000,0.753125
3,78,15000,0.744279
3,79,15000,0.734577
3,80,15000,0.723914
3,81,15000,0.71217
3,82,15000,0.699203
3,83,15000,0.684847
3,84,15000,0.668904
3,85,15000,0.651141
3,86,15000,0.631279
3,87,15000,0.608987
3,88,15000,0.583868
3,89,15000,0.555453
3,90,15000,0.523189
3,91,15000,0.486439
3,92,15000,0.444497
3,93,15000,0.396644
3,94,15000,0.342269
3,95,15000,0.281202
3,96,15000,0.21412
3,97,15000,0.14458
3,98,15000,0.076977
3,99,15000,0.03664
3,100,15000,0
4,0,15000,0
4,1,15000,0.00278489
4,2,15000,0.015194
4,3,15000,0.0507898
4,4,15000,0.0969038
4,5,15000,0.148182
4,6,15000,0.199908
4,7,15000,0.249645
4,8,15000,0.296131
4,9,15000,0.338891
4,10,15000,0.377874
4,11,15000,0.413254
4,12,15000,0.44531
4,13,15000,0.474353
4,14,15000,0.500692
4,15,15000,0.524618
4,16,15000,0.546396
4,17,15000,0.56626
4,18,15000,0.584418
4,19,15000,0.601051
4,20,15000,0.616318
4,21,15000,0.630356
4,22,15000,0.643287
4,23,15000,0.655216
4,24,15000,0.666236
4,25,15000,0.676427
4,26,15000,0.685861
4,27,15000,0.6946
4,28,15000,0.702701
