x,y,t,u
0,0,2500,1
0,1,2500,1
0,2,2500,1
0,3,2500,1
0,4,2500,1
0,5,2500,1
0,6,2500,1
0,7,2500,1
0,8,2500,1
0,9,2500,1
0,10,2500,1
0,11,2500,1
0,12,2500,1
0,13,2500,1
0,14,2500,1
0,15,2500,1
0,16,2500,1
0,17,2500,1
0,18,2500,1
0,19,2500,1
0,20,2500,1
0,21,2500,1
0,22,2500,1
0,23,2500,1
0,24,2500,1
0,25,2500,1
0,26,2500,1
0,27,2500,1
0,28,2500,1
0,29,2500,1
0,30,2500,1
0,31,2500,1
0,32,2500,1
0,33,2500,1
0,34,2500,1
0,35,2500,1
0,36,2500,1
0,37,2500,1
0,38,2500,1
0,39,2500,1
0,40,2500,1
0,41,2500,1
0,42,2500,1
0,43,2500,1
0,44,2500,1
0,45,2500,1
0,46,2500,1
0,47,2500,1
0,48,2500,1
0,49,2500,1
0,50,2500,1
0,51,2500,1
0,52,2500,1
0,53,2500,1
0,54,2500,1
0,55,2500,1
0,56,2500,1
0,57,2500,1
0,58,2500,1
0,59,2500,1
0,60,2500,1
0,61,2500,1
0,62,2500,1
0,63,2500,1
0,64,2500,1
0,65,2500,1
0,66,2500,1
0,67,2500,1
0,68,2500,1
0,69,2500,1
0,70,2500,1
0,71,2500,1
0,72,2500,1
0,73,2500,1
0,74,2500,1
0,75,2500,1
0,76,2500,1
0,77,2500,1
0,78,2500,1
0,79,2500,1
0,80,2500,1
0,81,2500,1
0,82,2500,1
0,83,2500,1
0,84,2500,1
0,85,2500,1
0,86,2500,1
0,87,2500,1
0,88,2500,1
0,89,2500,1
0,90,2500,1
0,91,2500,1
0,92,2500,1
0,93,2500,1
0,94,2500,1
0,95,2500,1
0,96,2500,1
0,97,2500,1
0,98,2500,1
0,99,2500,1
0,100,2500,1
1,0,2500,0
1,1,2500,0.343015
1,2,2500,0.452494
1,3,2500,0.553037
1,4,2500,0.623447
1,5,2500,0.676592
1,6,2500,0.717193
1,7,2500,0.749023
1,8,2500,0.7745
1,9,2500,0.795282
1,10,2500,0.812517
1,11,2500,0.827015
1,12,2500,0.83936
1,13,2500,0.849983
1,14,2500,0.859209
1,15,2500,0.867283
1,16,2500,0.874397
1,17,2500,0.880702
1,18,2500,0.886319
1,19,2500,0.891345
1,20,2500,0.895859
1,21,2500,0.899928
1,22,2500,0.903605
1,23,2500,0.906937
1,24,2500,0.909963
1,25,2500,0.912716
1,26,2500,0.915225
1,27,2500,0.917514
1,28,2500,0.919604
1,29,2500,0.921515
1,30,2500,0.923262
1,31,2500,0.92486
1,32,2500,0.926321
1,33,2500,0.927658
1,34,2500,0.928879
1,35,2500,0.929993
1,36,2500,0.931009
1,37,2500,0.931933
1,38,2500,0.932772
1,39,2500,0.93353
1,40,2500,0.934214
1,41,2500,0.934827
1,42,2500,0.935372
1,43,2500,0.935854
1,44,2500,0.936275
1,45,2500,0.936638
1,46,2500,0.936944
1,47,2500,0.937195
1,48,2500,0.937393
1,49,2500,0.937539
1,50,2500,0.937633
1,51,2500,0.937675
1,52,2500,0.937665
1,53,2500,0.937604
1,54,2500,0.93749
1,55,2500,0.937322
1,56,2500,0.937099
1,57,2500,0.936819
1,58,2500,0.93648
1,59,2500,0.936079
1,60,2500,0.935614
1,61,2500,0.93508
1,62,2500,0.934474
1,63,2500,0.933791
1,64,2500,0.933025
1,65,2500,0.932172
1,66,2500,0.931224
1,67,2500,0.930173
1,68,2500,0.929012
1,69,2500,0.927729
1,70,2500,0.926315
1,71,2500,0.924756
1,72,2500,0.923039
1,73,2500,0.921147
1,74,2500,0.919062
1,75,2500,0.916761
1,76,2500,0.914221
1,77,2500,0.911411
1,78,2500,0.9083
1,79,2500,0.904846
1,80,2500,0.901003
1,81,2500,0.896716
1,82,2500,0.891916
1,83,2500,0.886522
1,84,2500,0.880435
1,85,2500,0.873531
1,86,2500,0.865655
1,87,2500,0.856611
1,88,2500,0.846145
1,89,2500,0.833927
1,90,2500,0.819516
1,91,2500,0.802313
1,92,2500,0.781493
1,93,2500,0.755889
1,94,2500,0.723813
1,95,2500,0.682822
1,96,2500,0.629081
1,97,2500,0.557942
1,98,2500,0.456
