x,y,t,u
0,0,30000,1
0,1,30000,1
0,2,30000,1
0,3,30000,1
0,4,30000,1
0,5,30000,1
0,6,30000,1
0,7,30000,1
0,8,30000,1
0,9,30000,1
0,10,30000,1
0,11,30000,1
0,12,30000,1
0,13,30000,1
0,14,30000,1
0,15,30000,1
0,16,30000,1
0,17,30000,1
0,18,30000,1
0,19,30000,1
0,20,30000,1
0,21,30000,1
0,22,30000,1
0,23,30000,1
0,24,30000,1
0,25,30000,1
0,26,30000,1
0,27,30000,1
0,28,30000,1
0,29,30000,1
0,30,30000,1
0,31,30000,1
0,32,30000,1
0,33,30000,1
0,34,30000,1
0,35,30000,1
0,36,30000,1
0,37,30000,1
0,38,30000,1
0,39,30000,1
0,40,30000,1
0,41,30000,1
0,42,30000,1
0,43,30000,1
0,44,30000,1
0,45,30000,1
0,46,30000,1
0,47,30000,1
0,48,30000,1
0,49,30000,1
0,50,30000,1
0,51,30000,1
0,52,30000,1
0,53,30000,1
0,54,30000,1
0,55,30000,1
0,56,30000,1
0,57,30000,1
0,58,30000,1
0,59,30000,1
0,60,30000,1
0,61,30000,1
0,62,30000,1
0,63,30000,1
0,64,30000,1
0,65,30000,1
0,66,30000,1
0,67,30000,1
0,68,30000,1
0,69,30000,1
0,70,30000,1
0,71,30000,1
0,72,30000,1
0,73,30000,1
0,74,30000,1
0,75,30000,1
0,76,30000,1
0,77,30000,1
0,78,30000,1
0,79,30000,1
0,80,30000,1
0,81,30000,1
0,82,30000,1
0,83,30000,1
0,84,30000,1
0,85,30000,1
0,86,30000,1
0,87,30000,1
0,88,30000,1
0,89,30000,1
0,90,30000,1
0,91,30000,1
0,92,30000,1
0,93,30000,1
0,94,30000,1
0,95,30000,1
0,96,30000,1
0,97,30000,1
0,98,30000,1
0,99,30000,1
0,100,30000,1
1,0,30000,0
1,1,30000,0.342934
1,2,30000,0.452343
1,3,30000,0.552842
1,4,30000,0.62322
1,5,30000,0.676345
1,6,30000,0.716939
1,7,30000,0.748775
1,8,30000,0.774273
1,9,30000,0.795093
1,10,30000,0.812383
1,11,30000,0.826952
1,12,30000,0.839386
1,13,30000,0.850115
1,14,30000,0.859461
1,15,30000,0.86767
1,16,30000,0.874933
1,17,30000,0.881401
1,18,30000,0.887191
1,19,30000,0.8924
1,20,30000,0.897107
1,21,30000,0.901376
1,22,30000,0.90526
1,23,30000,0.908804
1,24,30000,0.912046
1,25,30000,0.915018
1,26,30000,0.917746
1,27,30000,0.920256
1,28,30000,0.922565
1,29,30000,0.924694
1,30,30000,0.926656
1,31,30000,0.928464
1,32,30000,0.930132
1,33,30000,0.931669
1,34,30000,0.933084
1,35,30000,0.934384
1,36,30000,0.935579
1,37,30000,0.936673
1,38,30000,0.937671
1,39,30000,0.938581
1,40,30000,0.939404
1,41,30000,0.940146
1,42,30000,0.940809
1,43,30000,0.941397
1,44,30000,0.941912
1,45,30000,0.942357
1,46,30000,0.942732
1,47,30000,0.943041
1,48,30000,0.943283
1,49,30000,0.943459
1,50,30000,0.943572
1,51,30000,0.943619
1,52,30000,0.943603
1,53,30000,0.943522
1,54,30000,0.943375
1,55,30000,0.943163
1,56,30000,0.942883
1,57,30000,0.942535
1,58,30000,0.942116
1,59,30000,0.941624
1,60,30000,0.941057
1,61,30000,0.940411
1,62,30000,0.939683
1,63,30000,0.938869
1,64,30000,0.937963
1,65,30000,0.936961
1,66,30000,0.935857
1,67,30000,0.934642
1,68,30000,0.933311
1,69,30000,0.931852
1,70,30000,0.930256
1,71,30000,0.928512
1,72,30000,0.926605
1,73,30000,0.92452
1,74,30000,0.922239
1,75,30000,0.919741
1,76,30000,0.917003
1,77,30000,0.913995
1,78,30000,0.910686
1,79,30000,0.907037
1,80,30000,0.903
1,81,30000,0.898522
1,82,30000,0.893536
1,83,30000,0.88796
1,84,30000,0.881697
1,85,30000,0.874624
1,86,30000,0.866586
1,87,30000,0.857388
1,88,30000,0.846779
1,89,30000,0.834427
1,90,30000,0.819894
1,91,30000,0.802583
1,92,30000,0.781668
1,93,30000,0.755984
1,94,30000,0.723845
1,95,30000,0.682806
1,96,30000,0.629037
1,97,30000,0.557886
1,98,30000,0.45595
1,99,30000,0.345829
1,100,30000,0
2,0,30000,0
2,1,30000,0.11692
2,2,30000,0.193536
2,3,30000,0.28784
2,4,30000,0.368027
2,5,30000,0.43657
2,6,30000,0.493868
2,7,30000,0.541854
2,8,30000,0.582223
2,9,30000,0.616437
2,10,30000,0.645676
2,11,30000,0.670873
2,12,30000,0.692762
2,13,30000,0.711921
2,14,30000,0.728807
2,15,30000,0.743783
2,16,30000,0.757141
2,17,30000,0.769117
2,18,30000,0.779903
2,19,30000,0.789657
2,20,30000,0.798509
2,21,30000,0.806569
2,22,30000,0.813929
2,23,30000,0.820666
2,24,30000,0.826846
2,25,30000,0.832526
2,26,30000,0.837753
2,27,30000,0.842571
2,28,30000,0.847016
2,29,30000,0.851118
2,30,30000,0.854907
2,31,30000,0.858406
2,32,30000,0.861637
2,33,30000,0.86462
2,34,30000,0.86737
2,35,30000,0.869902
2,36,30000,0.872231
2,37,30000,0.874367
2,38,30000,0.876321
2,39,30000,0.878102
2,40,30000,0.879718
2,41,30000,0.881177
2,42,30000,0.882485
2,43,30000,0.883646
2,44,30000,0.884667
2,45,30000,0.885552
2,46,30000,0.886302
2,47,30000,0.886923
2,48,30000,0.887415
2,49,30000,0.88778
2,50,30000,0.88802
2,51,30000,0.888135
2,52,30000,0.888126
2,53,30000,0.887991
2,54,30000,0.887729
2,55,30000,0.88734
2,56,30000,0.88682
2,57,30000,0.886168
2,58,30000,0.885378
2,59,30000,0.884448
2,60,30000,0.883372
2,61,30000,0.882145
2,62,30000,0.880759
2,63,30000,0.879206
2,64,30000,0.877479
2,65,30000,0.875567
2,66,30000,0.873458
2,67,30000,0.871139
2,68,30000,0.868597
2,69,30000,0.865813
2,70,30000,0.862768
2,71,30000,0.859442
2,72,30000,0.855809
2,73,30000,0.851841
2,74,30000,0.847505
2,75,30000,0.842763
2,76,30000,0.837573
2,77,30000,0.831885
2,78,30000,0.825639
2,79,30000,0.818768
2,80,30000,0.811191
2,81,30000,0.802814
2,82,30000,0.793523
2,83,30000,0.783182
2,84,30000,0.771628
2,85,30000,0.758662
2,86,30000,0.744039
2,87,30000,0.727457
2,88,30000,0.708541
2,89,30000,0.686818
2,90,30000,0.661689
2,91,30000,0.632397
2,92,30000,0.597973
2,93,30000,0.5572
2,94,30000,0.508553
2,95,30000,0.45027
2,96,30000,0.380291
2,97,30000,0.298168
2,98,30000,0.200935
2,99,30000,0.12142
2,100,30000,0
3,0,30000,0
3,1,30000,0.0329655
3,2,30000,0.0696615
3,3,30000,0.133205
3,4,30000,0.199441
3,5,30000,0.263861
3,6,30000,0.322909
3,7,30000,0.375798
3,8,30000,0.422607
3,9,30000,0.463864
3,10,30000,0.500219
3,11,30000,0.532322
3,12,30000,0.560764
3,13,30000,0.586062
3,14,30000,0.608655
3,15,30000,0.628916
3,16,30000,0.647157
3,17,30000,0.66364
3,18,30000,0.678587
3,19,30000,0.692184
3,20,30000,0.704588
3,21,30000,0.715933
3,22,30000,0.726334
3,23,30000,0.735889
3,24,30000,0.744682
3,25,30000,0.752786
3,26,30000,0.760265
3,27,30000,0.767175
3,28,30000,0.773562
3,29,30000,0.779471
3,30,30000,0.784938
3,31,30000,0.789997
3,32,30000,0.794675
3,33,30000,0.799
3,34,30000,0.802995
3,35,30000,0.806679
3,36,30000,0.810071
3,37,30000,0.813187
3,38,30000,0.816041
3,39,30000,0.818647
3,40,30000,0.821015
3,41,30000,0.823156
3,42,30000,0.825078
3,43,30000,0.826789
3,44,30000,0.828297
3,45,30000,0.829605
3,46,30000,0.83072
3,47,30000,0.831646
3,48,30000,0.832385
3,49,30000,0.83294
3,50,30000,0.833312
3,51,30000,0.833503
3,52,30000,0.833512
3,53,30000,0.833339
3,54,30000,0.832982
3,55,30000,0.832438
3,56,30000,0.831706
3,57,30000,0.830779
3,58,30000,0.829655
3,59,30000,0.828325
3,60,30000,0.826785
3,61,30000,0.825025
3,62,30000,0.823035
3,63,30000,0.820806
3,64,30000,0.818324
3,65,30000,0.815575
3,66,30000,0.812544
3,67,30000,0.809213
3,68,30000,0.80556
3,69,30000,0.801563
3,70,30000,0.797195
3,71,30000,0.792427
3,72,30000,0.787224
3,73,30000,0.781548
3,74,30000,0.775355
3,75,30000,0.768594
3,76,30000,0.761208
3,77,30000,0.753131
3,78,30000,0.744285
3,79,30000,0.734582
3,80,30000,0.723919
3,81,30000,0.712174
3,82,30000,0.699207
3,83,30000,0.68485
3,84,30000,0.668907
3,85,30000,0.651144
3,86,30000,0.631282
3,87,30000,0.608989
3,88,30000,0.58387
3,89,30000,0.555454
3,90,30000,0.52319
3,91,30000,0.48644
3,92,30000,0.444498
3,93,30000,0.396645
3,94,30000,0.34227
3,95,30000,0.281203
3,96,30000,0.21412
3,97,30000,0.14458
3,98,30000,0.076977
3,99,30000,0.0366401
3,100,30000,0
4,0,30000,0
4,1,30000,0.00278484
4,2,30000,0.0151939
4,3,30000,0.0507896
4,4,30000,0.0969036
4,5,30000,0.148182
4,6,30000,0.199908
4,7,30000,0.249645
4,8,30000,0.296131
4,9,30000,0.338891
4,10,30000,0.377874
4,11,30000,0.413255
4,12,30000,0.445311
4,13,30000,0.474353
4,14,30000,0.500693
4,15,30000,0.52462
4,16,30000,0.546398
4,17,30000,0.566263
4,18,30000,0.584421
4,19,30000,0.601055
4,20,30000,0.616322
4,21,30000,0.630361
4,22,30000,0.643293
4,23,30000,0.655222
4,24,30000,0.666243
4,25,30000,0.676435
4,26,30000,0.685869
4,27,30000,0.694609
4,28,30000,0.70271
4,29,30000,0.710221
4,30,30000,0.717186
4,31,30000,0.723643
4,32,30000,0.729626
4,33,30000,0.735168
4,34,30000,0.740293
4,35,30000,0.745029
4,36,30000,0.749395
4,37,30000,0.753412
4,38,30000,0.757098
4,39,30000,0.760467
4,40,30000,0.763533
4,41,30000,0.766309
4,42,30000,0.768806
4,43,30000,0.771033
4,44,30000,0.772998
4,45,30000,0.774709
4,46,30000,0.77617
4,47,30000,0.777388
4,48,30000,0.778366
4,49,30000,0.779106
4,50,30000,0.779611
4,51,30000,0.779882
4,52,30000,0.779919
4,53,30000,0.779721
4,54,30000,0.779285
4,55,30000,0.778609
4,56,30000,0.77769
4,57,30000,0.776521
4,58,30000,0.775096
4,59,30000,0.773409
4,60,30000,0.77145
4,61,30000,0.76921
4,62,30000,0.766676
4,63,30000,0.763834
4,64,30000,0.760671
4,65,30000,0.757167
4,66,30000,0.753304
4,67,30000,0.74906
4,68,30000,0.74441
4,69,30000,0.739324
4,70,30000,0.733773
4,71,30000,0.727718
4,72,30000,0.721121
4,73,30000,0.713935
4,74,30000,0.706109
4,75,30000,0.697583
4,76,30000,0.68829
4,77,30000,0.678154
4,78,30000,0.667088
4,79,30000,0.654993
4,80,30000,0.641754
4,81,30000,0.62724
4,82,30000,0.611301
4,83,30000,0.593764
4,84,30000,0.57443
4,85,30000,0.553071
4,86,30000,0.529427
4,87,30000,0.503205
4,88,30000,0.474077
4,89,30000,0.441691
4,90,30000,0.405686
4,91,30000,0.365724
4,92,30000,0.321565
4,93,30000,0.273186
4,94,30000,0.220995
4,95,30000,0.166208
4,96,30000,0.111261
4,97,30000,0.0610366
4,98,30000,0.0211317
4,99,30000,0.00540962
4,100,30000,0
5,0,30000,0
5,1,30000,-0.0072299
5,2,30000,-0.00748963
5,3,30000,0.008543
5,4,30000,0.0367388
5,5,30000,0.0733656
5,6,30000,0.114343
5,7,30000,0.15681
5,8,30000,0.198841
5,9,30000,0.239283
5,10,30000,0.277509
5,11,30000,0.31324
5,12,30000,0.346407
5,13,30000,0.377068
5,14,30000,0.40535
5,15,30000,0.431412
5,16,30000,0.455425
5,17,30000,0.477559
5,18,30000,0.497975
5,19,30000,0.516826
5,20,30000,0.534247
5,21,30000,0.550365
5,22,30000,0.565292
5,23,30000,0.579128
5,24,30000,0.591965
5,25,30000,0.603882
5,26,30000,0.614952
5,27,30000,0.62524
5,28,30000,0.634803
5,29,30000,0.643692
5,30,30000,0.651955
5,31,30000,0.659633
5,32,30000,0.666763
5,33,30000,0.673378
5,34,30000,0.679509
5,35,30000,0.685182
5,36,30000,0.690421
5,37,30000,0.695249
5,38,30000,0.699685
5,39,30000,0.703746
5,40,30000,0.707448
5,41,30000,0.710805
5,42,30000,0.713828
5,43,30000,0.716529
5,44,30000,0.718916
5,45,30000,0.720998
5,46,30000,0.722782
5,47,30000,0.724273
5,48,30000,0.725475
5,49,30000,0.726392
5,50,30000,0.727026
5,51,30000,0.727377
5,52,30000,0.727446
5,53,30000,0.727232
5,54,30000,0.726732
5,55,30000,0.725942
5,56,30000,0.724859
5,57,30000,0.723476
5,58,30000,0.721786
5,59,30000,0.71978
5,60,30000,0.717448
5,61,30000,0.714778
5,62,30000,0.711757
5,63,30000,0.708369
5,64,30000,0.704596
5,65,30000,0.70042
5,66,30000,0.695817
5,67,30000,0.690763
5,68,30000,0.685229
5,69,30000,0.679184
5,70,30000,0.672592
5,71,30000,0.665413
5,72,30000,0.657603
5,73,30000,0.649112
5,74,30000,0.639883
5,75,30000,0.629853
5,76,30000,0.618952
5,77,30000,0.607099
5,78,30000,0.594205
5,79,30000,0.580168
5,80,30000,0.564875
5,81,30000,0.548199
5,82,30000,0.529997
5,83,30000,0.510112
5,84,30000,0.488368
5,85,30000,0.464576
5,86,30000,0.438533
5,87,30000,0.410031
5,88,30000,0.378866
5,89,30000,0.344864
5,90,30000,0.307911
5,91,30000,0.26802
5,92,30000,0.225416
5,93,30000,0.180683
5,94,30000,0.134958
5,95,30000,0.0902061
5,96,30000,0.0494152
5,97,30000,0.0169678
5,98,30000,-0.00301234
5,99,30000,-0.00542436
5,100,30000,0
6,0,30000,0
6,1,30000,-0.00973622
6,2,30000,-0.0158575
6,3,30000,-0.0118988
6,4,30000,0.00283861
6,5,30000,0.0266039
6,6,30000,0.0566251
6,7,30000,0.0904027
6,8,30000,0.125938
6,9,30000,0.161793
6,10,30000,0.196999
6,11,30000,0.230944
6,12,30000,0.263274
6,13,30000,0.293812
6,14,30000,0.322497
6,15,30000,0.349343
6,16,30000,0.374407
6,17,30000,0.397777
6,18,30000,0.419548
6,19,30000,0.439824
6,20,30000,0.458706
6,21,30000,0.476294
6,22,30000,0.492678
6,23,30000,0.507947
6,24,30000,0.522179
6,25,30000,0.535449
6,26,30000,0.547823
6,27,30000,0.559363
6,28,30000,0.570124
6,29,30000,0.580157
6,30,30000,0.589507
6,31,30000,0.598216
6,32,30000,0.606321
6,33,30000,0.613858
6,34,30000,0.620856
6,35,30000,0.627343
6,36,30000,0.633345
6,37,30000,0.638885
6,38,30000,0.643983
6,39,30000,0.648657
6,40,30000,0.652923
6,41,30000,0.656798
6,42,30000,0.660292
6,43,30000,0.663419
6,44,30000,0.666187
6,45,30000,0.668606
6,46,30000,0.670683
6,47,30000,0.672423
6,48,30000,0.673831
6,49,30000,0.674911
6,50,30000,0.675664
6,51,30000,0.676093
6,52,30000,0.676196
6,53,30000,0.675972
6,54,30000,0.675419
6,55,30000,0.674532
6,56,30000,0.673307
6,57,30000,0.671737
6,58,30000,0.669813
6,59,30000,0.667526
6,60,30000,0.664865
6,61,30000,0.661817
6,62,30000,0.658367
6,63,30000,0.654498
6,64,30000,0.650192
6,65,30000,0.645426
6,66,30000,0.640177
6,67,30000,0.634417
6,68,30000,0.628117
6,69,30000,0.621244
6,70,30000,0.613759
6,71,30000,0.605621
6,72,30000,0.596785
6,73,30000,0.587198
6,74,30000,0.576804
6,75,30000,0.565539
6,76,30000,0.553333
6,77,30000,0.540108
6,78,30000,0.52578
6,79,30000,0.510253
6,80,30000,0.493425
6,81,30000,0.475184
6,82,30000,0.455409
6,83,30000,0.433973
6,84,30000,0.410746
6,85,30000,0.385596
6,86,30000,0.358402
6,87,30000,0.329063
6,88,30000,0.297523
6,89,30000,0.263796
6,90,30000,0.228015
6,91,30000,0.190496
6,92,30000,0.151826
6,93,30000,0.112979
6,94,30000,0.0754437
6,95,30000,0.041341
6,96,30000,0.0133858
6,97,30000,-0.00530062
6,98,30000,-0.0125873
6,99,30000,-0.00850501
6,100,30000,0
7,0,30000,0
7,1,30000,-0.00958707
7,2,30000,-0.018017
7,3,30000,-0.0209594
7,4,30000,-0.0154685
7,5,30000,-0.00177475
7,6,30000,0.0186364
7,7,30000,0.0439422
7,8,30000,0.0724247
7,9,30000,0.102665
7,10,30000,0.133576
7,11,30000,0.16437
7,12,30000,0.194501
7,13,30000,0.223614
7,14,30000,0.25149
7,15,30000,0.278009
7,16,30000,0.303121
7,17,30000,0.326823
7,18,30000,0.34914
7,19,30000,0.370119
7,20,30000,0.389818
7,21,30000,0.408299
7,22,30000,0.425628
7,23,30000,0.44187
7,24,30000,0.457088
7,25,30000,0.471343
7,26,30000,0.484691
7,27,30000,0.497187
7,28,30000,0.508879
7,29,30000,0.519815
7,30,30000,0.530036
7,31,30000,0.539581
7,32,30000,0.548487
7,33,30000,0.556785
7,34,30000,0.564507
7,35,30000,0.57168
7,36,30000,0.578328
7,37,30000,0.584474
7,38,30000,0.590139
7,39,30000,0.595341
7,40,30000,0.600097
7,41,30000,0.604421
7,42,30000,0.608328
7,43,30000,0.611827
7,44,30000,0.614931
7,45,30000,0.617647
7,46,30000,0.619983
7,47,30000,0.621944
7,48,30000,0.623537
7,49,30000,0.624763
7,50,30000,0.625625
7,51,30000,0.626124
7,52,30000,0.62626
7,53,30000,0.626031
7,54,30000,0.625433
7,55,30000,0.624464
7,56,30000,0.623117
7,57,30000,0.621384
7,58,30000,0.619258
7,59,30000,0.616727
7,60,30000,0.613781
7,61,30000,0.610406
7,62,30000,0.606585
7,63,30000,0.602301
7,64,30000,0.597534
7,65,30000,0.592262
7,66,30000,0.586461
7,67,30000,0.580102
7,68,30000,0.573154
7,69,30000,0.565585
7,70,30000,0.557356
7,71,30000,0.548427
7,72,30000,0.538751
7,73,30000,0.528279
7,74,30000,0.516955
7,75,30000,0.504721
7,76,30000,0.491512
7,77,30000,0.477256
7,78,30000,0.461879
7,79,30000,0.4453
7,80,30000,0.427433
7,81,30000,0.408191
7,82,30000,0.387486
7,83,30000,0.365232
7,84,30000,0.341351
