x,y,t,v
0,0,32500,0
0,1,32500,0
0,2,32500,0
0,3,32500,0
0,4,32500,0
0,5,32500,0
0,6,32500,0
0,7,32500,0
0,8,32500,0
0,9,32500,0
0,10,32500,0
0,11,32500,0
0,12,32500,0
0,13,32500,0
0,14,32500,0
0,15,32500,0
0,16,32500,0
0,17,32500,0
0,18,32500,0
0,19,32500,0
0,20,32500,0
0,21,32500,0
0,22,32500,0
0,23,32500,0
0,24,32500,0
0,25,32500,0
0,26,32500,0
0,27,32500,0
0,28,32500,0
0,29,32500,0
0,30,32500,0
0,31,32500,0
0,32,32500,0
0,33,32500,0
0,34,32500,0
0,35,32500,0
0,36,32500,0
0,37,32500,0
0,38,32500,0
0,39,32500,0
0,40,32500,0
0,41,32500,0
0,42,32500,0
0,43,32500,0
0,44,32500,0
0,45,32500,0
0,46,32500,0
0,47,32500,0
0,48,32500,0
0,49,32500,0
0,50,32500,0
0,51,32500,0
0,52,32500,0
0,53,32500,0
0,54,32500,0
0,55,32500,0
0,56,32500,0
0,57,32500,0
0,58,32500,0
0,59,32500,0
0,60,32500,0
0,61,32500,0
0,62,32500,0
0,63,32500,0
0,64,32500,0
0,65,32500,0
0,66,32500,0
0,67,32500,0
0,68,32500,0
0,69,32500,0
0,70,32500,0
0,71,32500,0
0,72,32500,0
0,73,32500,0
0,74,32500,0
0,75,32500,0
0,76,32500,0
0,77,32500,0
0,78,32500,0
0,79,32500,0
0,80,32500,0
0,81,32500,0
0,82,32500,0
0,83,32500,0
0,84,32500,0
0,85,32500,0
0,86,32500,0
0,87,32500,0
0,88,32500,0
0,89,32500,0
0,90,32500,0
0,91,32500,0
0,92,32500,0
0,93,32500,0
0,94,32500,0
0,95,32500,0
0,96,32500,0
0,97,32500,0
0,98,32500,0
0,99,32500,0
0,100,32500,0
1,0,32500,0
1,1,32500,0.0847788
1,2,32500,0.0821054
1,3,32500,0.0710111
1,4,32500,0.0600088
1,5,32500,0.0512239
1,6,32500,0.0442412
1,7,32500,0.0386382
1,8,32500,0.0340662
1,9,32500,0.0302819
1,10,32500,0.0271117
1,11,32500,0.0244291
1,12,32500,0.0221396
1,13,32500,0.0201709
1,14,32500,0.0184671
1,15,32500,0.0169838
1,16,32500,0.0156858
1,17,32500,0.0145445
1,18,32500,0.0135367
1,19,32500,0.0126432
1,20,32500,0.0118481
1,21,32500,0.0111381
1,22,32500,0.010502
1,23,32500,0.0099301
1,24,32500,0.00941434
1,25,32500,0.00894764
1,26,32500,0.0085239
1,27,32500,0.0081378
1,28,32500,0.00778468
1,29,32500,0.00746042
1,30,32500,0.0071614
1,31,32500,0.00688438
1,32,32500,0.00662648
1,33,32500,0.00638509
1,34,32500,0.00615789
1,35,32500,0.00594276
1,36,32500,0.00573777
1,37,32500,0.00554116
1,38,32500,0.00535132
1,39,32500,0.00516676
1,40,32500,0.00498609
1,41,32500,0.00480804
1,42,32500,0.0046314
1,43,32500,0.00445503
1,44,32500,0.00427788
1,45,32500,0.0040989
1,46,32500,0.00391714
1,47,32500,0.00373164
1,48,32500,0.00354149
1,49,32500,0.0033458
1,50,32500,0.00314368
1,51,32500,0.00293426
1,52,32500,0.00271666
1,53,32500,0.00249002
1,54,32500,0.00225343
1,55,32500,0.00200598
1,56,32500,0.00174675
1,57,32500,0.00147476
1,58,32500,0.001189
1,59,32500,0.000888412
1,60,32500,0.000571867
1,61,32500,0.000238175
1,62,32500,-0.000113938
1,63,32500,-0.000485844
1,64,32500,-0.000879027
1,65,32500,-0.0012951
1,66,32500,-0.00173582
1,67,32500,-0.00220312
1,68,32500,-0.00269914
1,69,32500,-0.00322623
1,70,32500,-0.00378703
1,71,32500,-0.00438449
1,72,32500,-0.0050219
1,73,32500,-0.00570301
1,74,32500,-0.00643205
1,75,32500,-0.00721385
1,76,32500,-0.00805395
1,77,32500,-0.00895872
1,78,32500,-0.00993554
1,79,32500,-0.010993
1,80,32500,-0.0121412
1,81,32500,-0.013392
1,82,32500,-0.0147596
1,83,32500,-0.0162606
1,84,32500,-0.0179156
1,85,32500,-0.019749
1,86,32500,-0.0217911
1,87,32500,-0.0240791
1,88,32500,-0.0266595
1,89,32500,-0.0295908
1,90,32500,-0.0329481
1,91,32500,-0.0368287
1,92,32500,-0.0413616
1,93,32500,-0.0467223
1,94,32500,-0.0531532
1,95,32500,-0.0609983
1,96,32500,-0.0706524
1,97,32500,-0.0824594
1,98,32500,-0.0938429
1,99,32500,-0.0949879
1,100,32500,0
2,0,32500,0
2,1,32500,-0.088484
2,2,32500,-0.0775453
2,3,32500,-0.0581695
2,4,32500,-0.0412615
2,5,32500,-0.0287169
2,6,32500,-0.019796
2,7,32500,-0.0135271
2,8,32500,-0.00912095
2,9,32500,-0.00600595
2,10,32500,-0.00378546
2,11,32500,-0.00218781
2,12,32500,-0.00102729
2,13,32500,-0.00017637
2,14,32500,0.00045324
2,15,32500,0.000923233
2,16,32500,0.00127716
2,17,32500,0.00154607
2,18,32500,0.00175232
2,19,32500,0.00191212
2,20,32500,0.00203733
2,21,32500,0.00213665
2,22,32500,0.00221653
2,23,32500,0.00228171
2,24,32500,0.00233573
2,25,32500,0.00238118
2,26,32500,0.00241997
2,27,32500,0.0024535
2,28,32500,0.00248275
2,29,32500,0.00250844
2,30,32500,0.00253103
2,31,32500,0.00255081
2,32,32500,0.00256796
2,33,32500,0.00258253
2,34,32500,0.00259451
2,35,32500,0.00260382
2,36,32500,0.00261036
2,37,32500,0.00261397
2,38,32500,0.00261447
2,39,32500,0.00261169
2,40,32500,0.00260541
2,41,32500,0.00259541
2,42,32500,0.00258149
2,43,32500,0.00256343
2,44,32500,0.00254098
2,45,32500,0.00251394
2,46,32500,0.00248208
2,47,32500,0.00244517
2,48,32500,0.00240299
2,49,32500,0.00235532
2,50,32500,0.00230194
2,51,32500,0.00224264
2,52,32500,0.00217718
2,53,32500,0.00210537
2,54,32500,0.00202699
2,55,32500,0.00194182
2,56,32500,0.00184966
2,57,32500,0.0017503
2,58,32500,0.00164355
2,59,32500,0.00152921
2,60,32500,0.00140707
2,61,32500,0.00127697
2,62,32500,0.00113873
2,63,32500,0.000992176
2,64,32500,0.000837177
2,65,32500,0.000673606
2,66,32500,0.000501368
2,67,32500,0.000320405
2,68,32500,0.000130706
2,69,32500,-6.76783e-05
2,70,32500,-0.00027462
2,71,32500,-0.000489887
2,72,32500,-0.000713115
2,73,32500,-0.000943765
2,74,32500,-0.00118108
2,75,32500,-0.00142399
2,76,32500,-0.00167107
2,77,32500,-0.00192035
2,78,32500,-0.0021692
2,79,32500,-0.0024141
2,80,32500,-0.00265027
2,81,32500,-0.00287133
2,82,32500,-0.00306862
2,83,32500,-0.00323036
2,84,32500,-0.00334044
2,85,32500,-0.00337663
2,86,32500,-0.00330796
2,87,32500,-0.0030909
2,88,32500,-0.0026636
2,89,32500,-0.00193732
2,90,32500,-0.000783422
2,91,32500,0.00098589
2,92,32500,0.00364603
2,93,32500,0.00759998
2,94,32500,0.0134299
2,95,32500,0.0219436
2,96,32500,0.0341534
2,97,32500,0.0509162
2,98,32500,0.0706422
2,99,32500,0.0835223
2,100,32500,0
3,0,32500,0
3,1,32500,-0.119727
3,2,32500,-0.138185
3,3,32500,-0.12783
3,4,32500,-0.108694
3,5,32500,-0.089643
3,6,32500,-0.0731838
3,7,32500,-0.0597401
3,8,32500,-0.0489989
3,9,32500,-0.0404743
3,10,32500,-0.0337001
3,11,32500,-0.0282867
3,12,32500,-0.0239263
3,13,32500,-0.0203819
3,14,32500,-0.0174727
3,15,32500,-0.0150616
3,16,32500,-0.0130438
3,17,32500,-0.0113393
3,18,32500,-0.0098862
3,19,32500,-0.00863672
3,20,32500,-0.00755339
3,21,32500,-0.00660674
3,22,32500,-0.00577338
3,23,32500,-0.00503466
3,24,32500,-0.00437555
3,25,32500,-0.00378392
3,26,32500,-0.00324989
3,27,32500,-0.00276538
3,28,32500,-0.00232372
3,29,32500,-0.00191942
3,30,32500,-0.00154791
3,31,32500,-0.00120535
3,32,32500,-0.000888542
3,33,32500,-0.000594792
3,34,32500,-0.000321808
3,35,32500,-6.7647e-05
3,36,32500,0.000169351
3,37,32500,0.000390612
3,38,32500,0.000597364
3,39,32500,0.000790672
3,40,32500,0.000971465
3,41,32500,0.00114056
3,42,32500,0.00129867
3,43,32500,0.00144645
3,44,32500,0.00158447
3,45,32500,0.00171325
3,46,32500,0.00183328
3,47,32500,0.00194501
3,48,32500,0.00204886
3,49,32500,0.00214524
3,50,32500,0.00223454
3,51,32500,0.00231717
3,52,32500,0.00239352
3,53,32500,0.00246399
3,54,32500,0.00252902
3,55,32500,0.00258905
