x,y,t,v
0,0,45000,0
0,1,45000,0
0,2,45000,0
0,3,45000,0
0,4,45000,0
0,5,45000,0
0,6,45000,0
0,7,45000,0
0,8,45000,0
0,9,45000,0
0,10,45000,0
0,11,45000,0
0,12,45000,0
0,13,45000,0
0,14,45000,0
0,15,45000,0
0,16,45000,0
0,17,45000,0
0,18,45000,0
0,19,45000,0
0,20,45000,0
0,21,45000,0
0,22,45000,0
0,23,45000,0
0,24,45000,0
0,25,45000,0
0,26,45000,0
0,27,45000,0
0,28,45000,0
0,29,45000,0
0,30,45000,0
0,31,45000,0
0,32,45000,0
0,33,45000,0
0,34,45000,0
0,35,45000,0
0,36,45000,0
0,37,45000,0
0,38,45000,0
0,39,45000,0
0,40,45000,0
0,41,45000,0
0,42,45000,0
0,43,45000,0
0,44,45000,0
0,45,45000,0
0,46,45000,0
0,47,45000,0
0,48,45000,0
0,49,45000,0
0,50,45000,0
0,51,45000,0
0,52,45000,0
0,53,45000,0
0,54,45000,0
0,55,45000,0
0,56,45000,0
0,57,45000,0
0,58,45000,0
0,59,45000,0
0,60,45000,0
0,61,45000,0
0,62,45000,0
0,63,45000,0
0,64,45000,0
0,65,45000,0
0,66,45000,0
0,67,45000,0
0,68,45000,0
0,69,45000,0
0,70,45000,0
0,71,45000,0
0,72,45000,0
0,73,45000,0
0,74,45000,0
0,75,45000,0
0,76,45000,0
0,77,45000,0
0,78,45000,0
0,79,45000,0
0,80,45000,0
0,81,45000,0
0,82,45000,0
0,83,45000,0
0,84,45000,0
0,85,45000,0
0,86,45000,0
0,87,45000,0
0,88,45000,0
0,89,45000,0
0,90,45000,0
0,91,45000,0
0,92,45000,0
0,93,45000,0
0,94,45000,0
0,95,45000,0
0,96,45000,0
0,97,45000,0
0,98,45000,0
0,99,45000,0
0,100,45000,0
1,0,45000,0
1,1,45000,0.0847788
1,2,45000,0.0821054
1,3,45000,0.0710111
1,4,45000,0.0600088
1,5,45000,0.0512239
1,6,45000,0.0442412
1,7,45000,0.0386382
1,8,45000,0.0340662
1,9,45000,0.0302819
1,10,45000,0.0271117
1,11,45000,0.0244291
1,12,45000,0.0221396
1,13,45000,0.0201709
1,14,45000,0.0184671
1,15,45000,0.0169838
1,16,45000,0.0156858
1,17,45000,0.0145445
1,18,45000,0.0135367
1,19,45000,0.0126432
1,20,45000,0.0118481
1,21,45000,0.0111381
1,22,45000,0.010502
1,23,45000,0.0099301
1,24,45000,0.00941434
1,25,45000,0.00894764
1,26,45000,0.0085239
1,27,45000,0.0081378
1,28,45000,0.00778468
1,29,45000,0.00746042
1,30,45000,0.0071614
1,31,45000,0.00688438
1,32,45000,0.00662648
1,33,45000,0.00638509
1,34,45000,0.00615789
1,35,45000,0.00594276
1,36,45000,0.00573777
1,37,45000,0.00554116
1,38,45000,0.00535132
1,39,45000,0.00516676
1,40,45000,0.00498609
1,41,45000,0.00480804
1,42,45000,0.0046314
1,43,45000,0.00445503
1,44,45000,0.00427788
1,45,45000,0.0040989
1,46,45000,0.00391714
1,47,45000,0.00373164
1,48,45000,0.00354149
1,49,45000,0.0033458
1,50,45000,0.00314368
1,51,45000,0.00293426
1,52,45000,0.00271666
