x,y,t,v
0,0,20000,0
0,1,20000,0
0,2,20000,0
0,3,20000,0
0,4,20000,0
0,5,20000,0
0,6,20000,0
0,7,20000,0
0,8,20000,0
0,9,20000,0
0,10,20000,0
0,11,20000,0
0,12,20000,0
0,13,20000,0
0,14,20000,0
0,15,20000,0
0,16,20000,0
0,17,20000,0
0,18,20000,0
0,19,20000,0
0,20,20000,0
0,21,20000,0
0,22,20000,0
0,23,20000,0
0,24,20000,0
0,25,20000,0
0,26,20000,0
0,27,20000,0
0,28,20000,0
0,29,20000,0
0,30,20000,0
0,31,20000,0
0,32,20000,0
0,33,20000,0
0,34,20000,0
0,35,20000,0
0,36,20000,0
0,37,20000,0
0,38,20000,0
0,39,20000,0
0,40,20000,0
0,41,20000,0
0,42,20000,0
0,43,20000,0
0,44,20000,0
0,45,20000,0
0,46,20000,0
0,47,20000,0
0,48,20000,0
0,49,20000,0
0,50,20000,0
0,51,20000,0
0,52,20000,0
0,53,20000,0
0,54,20000,0
0,55,20000,0
0,56,20000,0
0,57,20000,0
0,58,20000,0
0,59,20000,0
0,60,20000,0
0,61,20000,0
0,62,20000,0
0,63,20000,0
0,64,20000,0
0,65,20000,0
0,66,20000,0
0,67,20000,0
0,68,20000,0
0,69,20000,0
0,70,20000,0
0,71,20000,0
0,72,20000,0
0,73,20000,0
0,74,20000,0
0,75,20000,0
0,76,20000,0
0,77,20000,0
0,78,20000,0
0,79,20000,0
0,80,20000,0
0,81,20000,0
0,82,20000,0
0,83,20000,0
0,84,20000,0
0,85,20000,0
0,86,20000,0
0,87,20000,0
0,88,20000,0
0,89,20000,0
0,90,20000,0
0,91,20000,0
0,92,20000,0
0,93,20000,0
0,94,20000,0
0,95,20000,0
0,96,20000,0
0,97,20000,0
0,98,20000,0
0,99,20000,0
0,100,20000,0
1,0,20000,0
1,1,20000,0.0847788
1,2,20000,0.0821054
1,3,20000,0.0710112
1,4,20000,0.0600088
1,5,20000,0.0512239
1,6,20000,0.0442412
1,7,20000,0.0386383
1,8,20000,0.0340662
1,9,20000,0.030282
1,10,20000,0.0271117
1,11,20000,0.0244291
1,12,20000,0.0221396
1,13,20000,0.020171
1,14,20000,0.0184671
1,15,20000,0.0169839
1,16,20000,0.0156859
1,17,20000,0.0145446
1,18,20000,0.0135368
1,19,20000,0.0126433
1,20,20000,0.0118482
1,21,20000,0.0111382
1,22,20000,0.0105021
1,23,20000,0.00993018
1,24,20000,0.00941442
1,25,20000,0.00894773
1,26,20000,0.00852399
1,27,20000,0.00813788
1,28,20000,0.00778476
1,29,20000,0.0074605
1,30,20000,0.00716147
1,31,20000,0.00688445
1,32,20000,0.00662655
1,33,20000,0.00638516
1,34,20000,0.00615795
1,35,20000,0.00594282
1,36,20000,0.00573782
1,37,20000,0.00554121
1,38,20000,0.00535136
1,39,20000,0.00516679
1,40,20000,0.00498612
1,41,20000,0.00480806
1,42,20000,0.00463142
1,43,20000,0.00445505
1,44,20000,0.00427788
1,45,20000,0.00409891
1,46,20000,0.00391714
1,47,20000,0.00373163
1,48,20000,0.00354148
1,49,20000,0.00334578
1,50,20000,0.00314365
1,51,20000,0.00293423
1,52,20000,0.00271663
1,53,20000,0.00248997
1,54,20000,0.00225338
1,55,20000,0.00200593
1,56,20000,0.0017467
1,57,20000,0.0014747
1,58,20000,0.00118894
1,59,20000,0.000888347
1,60,20000,0.000571799
1,61,20000,0.000238106
1,62,20000,-0.000114009
1,63,20000,-0.000485917
1,64,20000,-0.000879101
1,65,20000,-0.00129517
1,66,20000,-0.00173589
1,67,20000,-0.0022032
1,68,20000,-0.00269921
1,69,20000,-0.00322631
1,70,20000,-0.00378711
1,71,20000,-0.00438456
1,72,20000,-0.00502198
1,73,20000,-0.00570308
1,74,20000,-0.00643212
1,75,20000,-0.00721392
1,76,20000,-0.00805401
1,77,20000,-0.00895878
1,78,20000,-0.0099356
1,79,20000,-0.0109931
1,80,20000,-0.0121413
1,81,20000,-0.0133921
1,82,20000,-0.0147596
1,83,20000,-0.0162607
1,84,20000,-0.0179156
1,85,20000,-0.0197491
1,86,20000,-0.0217912
1,87,20000,-0.0240791
1,88,20000,-0.0266595
1,89,20000,-0.0295908
1,90,20000,-0.0329481
1,91,20000,-0.0368287
1,92,20000,-0.0413616
1,93,20000,-0.0467223
1,94,20000,-0.0531532
1,95,20000,-0.0609983
1,96,20000,-0.0706524
1,97,20000,-0.0824593
1,98,20000,-0.0938429
1,99,20000,-0.0949878
1,100,20000,0
2,0,20000,0
2,1,20000,-0.088484
2,2,20000,-0.0775453
2,3,20000,-0.0581695
2,4,20000,-0.0412615
2,5,20000,-0.0287168
2,6,20000,-0.019796
2,7,20000,-0.0135271
2,8,20000,-0.00912093
2,9,20000,-0.00600593
2,10,20000,-0.00378544
