x,y,t,v
0,0,12500,0
0,1,12500,0
0,2,12500,0
0,3,12500,0
0,4,12500,0
0,5,12500,0
0,6,12500,0
0,7,12500,0
0,8,12500,0
0,9,12500,0
0,10,12500,0
0,11,12500,0
0,12,12500,0
0,13,12500,0
0,14,12500,0
0,15,12500,0
0,16,12500,0
0,17,12500,0
0,18,12500,0
0,19,12500,0
0,20,12500,0
0,21,12500,0
0,22,12500,0
0,23,12500,0
0,24,12500,0
0,25,12500,0
0,26,12500,0
0,27,12500,0
0,28,12500,0
0,29,12500,0
0,30,12500,0
0,31,12500,0
0,32,12500,0
0,33,12500,0
0,34,12500,0
0,35,12500,0
0,36,12500,0
0,37,12500,0
0,38,12500,0
0,39,12500,0
0,40,12500,0
0,41,12500,0
0,42,12500,0
0,43,12500,0
0,44,12500,0
0,45,12500,0
0,46,12500,0
0,47,12500,0
0,48,12500,0
0,49,12500,0
0,50,12500,0
0,51,12500,0
0,52,12500,0
0,53,12500,0
0,54,12500,0
0,55,12500,0
0,56,12500,0
0,57,12500,0
0,58,12500,0
0,59,12500,0
0,60,12500,0
0,61,12500,0
0,62,12500,0
0,63,12500,0
0,64,12500,0
0,65,12500,0
0,66,12500,0
0,67,12500,0
0,68,12500,0
0,69,12500,0
0,70,12500,0
0,71,12500,0
0,72,12500,0
0,73,12500,0
0,74,12500,0
0,75,12500,0
0,76,12500,0
0,77,12500,0
0,78,12500,0
0,79,12500,0
0,80,12500,0
0,81,12500,0
0,82,12500,0
0,83,12500,0
0,84,12500,0
0,85,12500,0
0,86,12500,0
0,87,12500,0
0,88,12500,0
0,89,12500,0
0,90,12500,0
0,91,12500,0
0,92,12500,0
0,93,12500,0
0,94,12500,0
0,95,12500,0
0,96,12500,0
0,97,12500,0
0,98,12500,0
0,99,12500,0
0,100,12500,0
1,0,12500,0
1,1,12500,0.0847791
1,2,12500,0.0821058
1,3,12500,0.0710116
1,4,12500,0.0600093
1,5,12500,0.0512245
1,6,12500,0.044242
1,7,12500,0.0386392
1,8,12500,0.0340674
1,9,12500,0.0302833
1,10,12500,0.0271134
1,11,12500,0.024431
1,12,12500,0.0221417
1,13,12500,0.0201734
1,14,12500,0.0184698
1,15,12500,0.0169868
1,16,12500,0.015689
1,17,12500,0.0145479
1,18,12500,0.0135403
1,19,12500,0.0126469
1,20,12500,0.011852
1,21,12500,0.0111421
1,22,12500,0.0105061
1,23,12500,0.00993425
1,24,12500,0.00941853
1,25,12500,0.00895184
1,26,12500,0.00852809
1,27,12500,0.00814195
1,28,12500,0.00778875
1,29,12500,0.0074644
1,30,12500,0.00716527
1,31,12500,0.00688811
1,32,12500,0.00663004
1,33,12500,0.00638847
1,34,12500,0.00616107
1,35,12500,0.00594572
1,36,12500,0.00574049
1,37,12500,0.00554363
1,38,12500,0.00535353
1,39,12500,0.00516869
1,40,12500,0.00498775
1,41,12500,0.00480941
1,42,12500,0.00463247
1,43,12500,0.00445581
1,44,12500,0.00427835
1,45,12500,0.00409908
1,46,12500,0.00391701
1,47,12500,0.00373122
1,48,12500,0.00354078
1,49,12500,0.0033448
1,50,12500,0.0031424
1,51,12500,0.00293271
1,52,12500,0.00271486
1,53,12500,0.00248797
1,54,12500,0.00225115
1,55,12500,0.00200348
1,56,12500,0.00174404
1,57,12500,0.00147186
1,58,12500,0.00118593
1,59,12500,0.00088518
1,60,12500,0.000568494
1,61,12500,0.000234679
1,62,12500,-0.00011754
1,63,12500,-0.000489534
1,64,12500,-0.000882786
1,65,12500,-0.00129891
1,66,12500,-0.00173966
1,67,12500,-0.00220698
1,68,12500,-0.00270299
1,69,12500,-0.00323007
1,70,12500,-0.00379083
1,71,12500,-0.00438823
1,72,12500,-0.00502558
1,73,12500,-0.0057066
1,74,12500,-0.00643554
1,75,12500,-0.00721723
1,76,12500,-0.0080572
1,77,12500,-0.00896183
1,78,12500,-0.0099385
1,79,12500,-0.0109958
1,80,12500,-0.0121438
1,81,12500,-0.0133945
1,82,12500,-0.0147618
1,83,12500,-0.0162627
