x,y,t,v
0,0,22500,0
0,1,22500,0
0,2,22500,0
0,3,22500,0
0,4,22500,0
0,5,22500,0
0,6,22500,0
0,7,22500,0
0,8,22500,0
0,9,22500,0
0,10,22500,0
0,11,22500,0
0,12,22500,0
0,13,22500,0
0,14,22500,0
0,15,22500,0
0,16,22500,0
0,17,22500,0
0,18,22500,0
0,19,22500,0
0,20,22500,0
0,21,22500,0
0,22,22500,0
0,23,22500,0
0,24,22500,0
0,25,22500,0
0,26,22500,0
0,27,22500,0
0,28,22500,0
0,29,22500,0
0,30,22500,0
0,31,22500,0
0,32,22500,0
0,33,22500,0
0,34,22500,0
0,35,22500,0
0,36,22500,0
0,37,22500,0
0,38,22500,0
0,39,22500,0
0,40,22500,0
0,41,22500,0
0,42,22500,0
0,43,22500,0
0,44,22500,0
0,45,22500,0
0,46,22500,0
0,47,22500,0
0,48,22500,0
0,49,22500,0
0,50,22500,0
0,51,22500,0
0,52,22500,0
0,53,22500,0
0,54,22500,0
0,55,22500,0
0,56,22500,0
0,57,22500,0
0,58,22500,0
0,59,22500,0
0,60,22500,0
0,61,22500,0
0,62,22500,0
0,63,22500,0
0,64,22500,0
0,65,22500,0
0,66,22500,0
0,67,22500,0
0,68,22500,0
0,69,22500,0
0,70,22500,0
0,71,22500,0
0,72,22500,0
0,73,22500,0
0,74,22500,0
0,75,22500,0
0,76,22500,0
0,77,22500,0
0,78,22500,0
0,79,22500,0
0,80,22500,0
0,81,22500,0
0,82,22500,0
0,83,22500,0
0,84,22500,0
0,85,22500,0
0,86,22500,0
0,87,22500,0
0,88,22500,0
0,89,22500,0
0,90,22500,0
0,91,22500,0
0,92,22500,0
0,93,22500,0
0,94,22500,0
0,95,22500,0
0,96,22500,0
0,97,22500,0
0,98,22500,0
0,99,22500,0
0,100,22500,0
1,0,22500,0
1,1,22500,0.0847788
1,2,22500,0.0821054
1,3,22500,0.0710111
1,4,22500,0.0600088
1,5,22500,0.0512239
1,6,22500,0.0442412
1,7,22500,0.0386382
1,8,22500,0.0340662
1,9,22500,0.0302819
1,10,22500,0.0271117
1,11,22500,0.0244291
1,12,22500,0.0221396
1,13,22500,0.0201709
1,14,22500,0.0184671
1,15,22500,0.0169838
1,16,22500,0.0156858
1,17,22500,0.0145446
1,18,22500,0.0135367
1,19,22500,0.0126432
1,20,22500,0.0118482
1,21,22500,0.0111382
1,22,22500,0.010502
1,23,22500,0.00993013
1,24,22500,0.00941436
1,25,22500,0.00894767
1,26,22500,0.00852393
1,27,22500,0.00813782
1,28,22500,0.0077847
1,29,22500,0.00746044
1,30,22500,0.00716142
1,31,22500,0.0068844
1,32,22500,0.00662649
1,33,22500,0.00638511
1,34,22500,0.00615791
1,35,22500,0.00594278
1,36,22500,0.00573778
1,37,22500,0.00554117
1,38,22500,0.00535133
1,39,22500,0.00516677
1,40,22500,0.0049861
1,41,22500,0.00480805
1,42,22500,0.0046314
1,43,22500,0.00445504
1,44,22500,0.00427788
1,45,22500,0.0040989
1,46,22500,0.00391714
1,47,22500,0.00373164
1,48,22500,0.00354149
1,49,22500,0.00334579
1,50,22500,0.00314367
1,51,22500,0.00293425
1,52,22500,0.00271665
1,53,22500,0.00249
1,54,22500,0.00225341
1,55,22500,0.00200597
1,56,22500,0.00174674
1,57,22500,0.00147475
1,58,22500,0.00118899
1,59,22500,0.000888394
1,60,22500,0.000571849
1,61,22500,0.000238157
1,62,22500,-0.000113957
1,63,22500,-0.000485864
1,64,22500,-0.000879047
1,65,22500,-0.00129512
1,66,22500,-0.00173584
1,67,22500,-0.00220314
1,68,22500,-0.00269916
1,69,22500,-0.00322625
1,70,22500,-0.00378705
1,71,22500,-0.00438451
1,72,22500,-0.00502192
1,73,22500,-0.00570303
1,74,22500,-0.00643207
1,75,22500,-0.00721387
1,76,22500,-0.00805397
1,77,22500,-0.00895873
1,78,22500,-0.00993555
1,79,22500,-0.010993
1,80,22500,-0.0121412
1,81,22500,-0.013392
1,82,22500,-0.0147596
1,83,22500,-0.0162607
1,84,22500,-0.0179156
1,85,22500,-0.019749
1,86,22500,-0.0217911
1,87,22500,-0.0240791
1,88,22500,-0.0266595
1,89,22500,-0.0295908
1,90,22500,-0.0329481
1,91,22500,-0.0368287
1,92,22500,-0.0413616
1,93,22500,-0.0467223
1,94,22500,-0.0531532
1,95,22500,-0.0609983
1,96,22500,-0.0706524
1,97,22500,-0.0824594
1,98,22500,-0.0938429
1,99,22500,-0.0949879
1,100,22500,0
2,0,22500,0
2,1,22500,-0.088484
2,2,22500,-0.0775453
2,3,22500,-0.0581695
2,4,22500,-0.0412615
2,5,22500,-0.0287168
2,6,22500,-0.019796
2,7,22500,-0.0135271
2,8,22500,-0.00912095
2,9,22500,-0.00600595
2,10,22500,-0.00378546
2,11,22500,-0.0021878
2,12,22500,-0.00102728
2,13,22500,-0.000176358
2,14,22500,0.000453254
2,15,22500,0.000923248
2,16,22500,0.00127718
2,17,22500,0.00154609
2,18,22500,0.00175234
2,19,22500,0.00191214
2,20,22500,0.00203735
2,21,22500,0.00213667
2,22,22500,0.00221655
2,23,22500,0.00228173
2,24,22500,0.00233575
2,25,22500,0.0023812
2,26,22500,0.00241999
2,27,22500,0.00245352
2,28,22500,0.00248278
2,29,22500,0.00250846
2,30,22500,0.00253105
2,31,22500,0.00255084
2,32,22500,0.00256798
2,33,22500,0.00258255
2,34,22500,0.00259453
2,35,22500,0.00260384
2,36,22500,0.00261037
2,37,22500,0.00261398
2,38,22500,0.00261449
2,39,22500,0.0026117
2,40,22500,0.00260542
2,41,22500,0.00259542
2,42,22500,0.0025815
2,43,22500,0.00256343
2,44,22500,0.00254099
2,45,22500,0.00251395
2,46,22500,0.00248208
2,47,22500,0.00244517
2,48,22500,0.00240299
2,49,22500,0.00235532
2,50,22500,0.00230194
2,51,22500,0.00224263
2,52,22500,0.00217717
2,53,22500,0.00210536
2,54,22500,0.00202697
2,55,22500,0.00194181
2,56,22500,0.00184965
2,57,22500,0.00175029
2,58,22500,0.00164354
2,59,22500,0.00152919
2,60,22500,0.00140706
2,61,22500,0.00127695
2,62,22500,0.00113871
2,63,22500,0.000992156
2,64,22500,0.000837157
2,65,22500,0.000673585
2,66,22500,0.000501347
2,67,22500,0.000320384
2,68,22500,0.000130686
2,69,22500,-6.76992e-05
2,70,22500,-0.000274641
2,71,22500,-0.000489908
2,72,22500,-0.000713135
2,73,22500,-0.000943786
2,74,22500,-0.0011811
2,75,22500,-0.00142401
2,76,22500,-0.00167109
2,77,22500,-0.00192037
2,78,22500,-0.00216922
2,79,22500,-0.00241411
2,80,22500,-0.00265029
2,81,22500,-0.00287135
2,82,22500,-0.00306864
2,83,22500,-0.00323038
2,84,22500,-0.00334045
2,85,22500,-0.00337664
2,86,22500,-0.00330797
2,87,22500,-0.0030909
2,88,22500,-0.00266361
2,89,22500,-0.00193733
2,90,22500,-0.000783427
2,91,22500,0.000985887
2,92,22500,0.00364603
2,93,22500,0.00759997
2,94,22500,0.0134299
2,95,22500,0.0219436
2,96,22500,0.0341534
2,97,22500,0.0509162
2,98,22500,0.0706422
2,99,22500,0.0835223
2,100,22500,0
3,0,22500,0
3,1,22500,-0.119727
3,2,22500,-0.138185
3,3,22500,-0.12783
3,4,22500,-0.108694
3,5,22500,-0.089643
3,6,22500,-0.0731838
3,7,22500,-0.0597401
3,8,22500,-0.0489989
3,9,22500,-0.0404743
3,10,22500,-0.0337001
3,11,22500,-0.0282867
3,12,22500,-0.0239263
3,13,22500,-0.0203818
3,14,22500,-0.0174727
3,15,22500,-0.0150616
3,16,22500,-0.0130438
3,17,22500,-0.0113392
3,18,22500,-0.00988617
3,19,22500,-0.00863669
3,20,22500,-0.00755336
3,21,22500,-0.00660671
3,22,22500,-0.00577335
3,23,22500,-0.00503462
3,24,22500,-0.00437552
3,25,22500,-0.00378389
3,26,22500,-0.00324986
3,27,22500,-0.00276535
3,28,22500,-0.00232369
3,29,22500,-0.00191939
3,30,22500,-0.00154787
3,31,22500,-0.00120532
3,32,22500,-0.000888513
3,33,22500,-0.000594763
3,34,22500,-0.000321781
3,35,22500,-6.76215e-05
3,36,22500,0.000169375
3,37,22500,0.000390634
3,38,22500,0.000597384
3,39,22500,0.00079069
3,40,22500,0.000971481
3,41,22500,0.00114057
3,42,22500,0.00129868
3,43,22500,0.00144646
3,44,22500,0.00158448
3,45,22500,0.00171326
3,46,22500,0.00183328
3,47,22500,0.00194501
3,48,22500,0.00204886
3,49,22500,0.00214523
3,50,22500,0.00223454
3,51,22500,0.00231716
3,52,22500,0.00239351
3,53,22500,0.00246398
3,54,22500,0.002529
3,55,22500,0.00258903
3,56,22500,0.00264455
3,57,22500,0.00269608
3,58,22500,0.00274419
3,59,22500,0.00278953
3,60,22500,0.0028328
3,61,22500,0.0028748
3,62,22500,0.00291645
3,63,22500,0.00295876
3,64,22500,0.00300292
3,65,22500,0.00305029
3,66,22500,0.00310245
3,67,22500,0.0031612
3,68,22500,0.00322868
3,69,22500,0.00330737
3,70,22500,0.00340019
3,71,22500,0.00351059
3,72,22500,0.00364267
3,73,22500,0.00380129
3,74,22500,0.0039923
3,75,22500,0.00422271
3,76,22500,0.00450102
3,77,22500,0.00483756
3,78,22500,0.00524498
3,79,22500,0.00573887
3,80,22500,0.00633855
3,81,22500,0.00706817
3,82,22500,0.00795809
3,83,22500,0.00904684
3,84,22500,0.0103836
3,85,22500,0.0120319
3,86,22500,0.0140739
3,87,22500,0.0166171
3,88,22500,0.0198029
3,89,22500,0.0238175
3,90,22500,0.0289057
3,91,22500,0.0353866
3,92,22500,0.0436664
3,93,22500,0.0542349
3,94,22500,0.0676122
3,95,22500,0.0841616
3,96,22500,0.10353
3,97,22500,0.123327
3,98,22500,0.134781
3,99,22500,0.11808
3,100,22500,0
4,0,22500,0
4,1,22500,-0.133183
4,2,22500,-0.176855
4,3,22500,-0.181309
4,4,22500,-0.167835
4,5,22500,-0.148585
4,6,22500,-0.128853
4,7,22500,-0.110825
4,8,22500,-0.0951683
4,9,22500,-0.0818906
4,10,22500,-0.0707463
4,11,22500,-0.0614195
4,12,22500,-0.0536028
4,13,22500,-0.0470259
4,14,22500,-0.0414624
4,15,22500,-0.0367271
4,16,22500,-0.0326703
4,17,22500,-0.0291715
4,18,22500,-0.026134
4,19,22500,-0.0234797
4,20,22500,-0.0211459
4,21,22500,-0.0190815
4,22,22500,-0.0172448
4,23,22500,-0.0156018
4,24,22500,-0.0141244
4,25,22500,-0.0127894
4,26,22500,-0.0115774
4,27,22500,-0.0104724
4,28,22500,-0.00946073
4,29,22500,-0.00853089
4,30,22500,-0.00767316
4,31,22500,-0.00687922
4,32,22500,-0.00614195
4,33,22500,-0.00545522
4,34,22500,-0.00481371
4,35,22500,-0.00421281
4,36,22500,-0.00364848
4,37,22500,-0.00311718
4,38,22500,-0.00261577
4,39,22500,-0.00214146
4,40,22500,-0.00169177
4,41,22500,-0.00126446
4,42,22500,-0.000857499
4,43,22500,-0.000469028
4,44,22500,-9.73408e-05
4,45,22500,0.000259148
4,46,22500,0.000601928
4,47,22500,0.000932411
4,48,22500,0.00125195
4,49,22500,0.00156185
4,50,22500,0.00186341
4,51,22500,0.00215789
4,52,22500,0.00244659
4,53,22500,0.00273081
4,54,22500,0.0030119
4,55,22500,0.00329125
4,56,22500,0.00357034
4,57,22500,0.00385073
4,58,22500,0.00413411
4,59,22500,0.00442229
4,60,22500,0.00471727
4,61,22500,0.00502121
4,62,22500,0.00533655
4,63,22500,0.00566597
4,64,22500,0.00601247
4,65,22500,0.00637947
4,66,22500,0.00677079
4,67,22500,0.00719081
4,68,22500,0.00764453
4,69,22500,0.00813768
4,70,22500,0.00867689
4,71,22500,0.00926981
4,72,22500,0.00992539
4,73,22500,0.0106541
4,74,22500,0.0114681
4,75,22500,0.012382
4,76,22500,0.013413
4,77,22500,0.0145815
4,78,22500,0.0159123
4,79,22500,0.0174348
4,80,22500,0.0191853
4,81,22500,0.0212073
4,82,22500,0.0235547
4,83,22500,0.0262936
4,84,22500,0.0295058
4,85,22500,0.0332931
4,86,22500,0.0377821
4,87,22500,0.0431302
4,88,22500,0.0495329
4,89,22500,0.0572296
4,90,22500,0.0665076
4,91,22500,0.0776962
4,92,22500,0.0911388
4,93,22500,0.107115
4,94,22500,0.125651
4,95,22500,0.146116
4,96,22500,0.166329
4,97,22500,0.180945
4,98,22500,0.177567
4,99,22500,0.134476
4,100,22500,0
5,0,22500,0
5,1,22500,-0.130889
5,2,22500,-0.191055
5,3,22500,-0.210762
5,4,22500,-0.207585
5,5,22500,-0.193577
5,6,22500,-0.175379
5,7,22500,-0.156526
5,8,22500,-0.138702
5,9,22500,-0.122598
5,10,22500,-0.108391
5,11,22500,-0.0960092
5,12,22500,-0.0852781
5,13,22500,-0.0759909
5,14,22500,-0.0679443
5,15,22500,-0.0609537
5,16,22500,-0.054858
5,17,22500,-0.04952
5,18,22500,-0.0448237
5,19,22500,-0.0406725
5,20,22500,-0.0369855
5,21,22500,-0.0336951
5,22,22500,-0.0307452
5,23,22500,-0.0280885
5,24,22500,-0.0256855
5,25,22500,-0.0235028
5,26,22500,-0.0215121
5,27,22500,-0.0196897
5,28,22500,-0.018015
5,29,22500,-0.0164706
5,30,22500,-0.0150415
5,31,22500,-0.0137148
5,32,22500,-0.0124792
5,33,22500,-0.011325
5,34,22500,-0.0102436
5,35,22500,-0.00922755
5,36,22500,-0.00827017
5,37,22500,-0.0073656
5,38,22500,-0.0065086
5,39,22500,-0.00569448
5,40,22500,-0.00491898
5,41,22500,-0.00417826
5,42,22500,-0.0034688
5,43,22500,-0.00278737
5,44,22500,-0.00213096
5,45,22500,-0.00149676
5,46,22500,-0.000882111
5,47,22500,-0.000284494
5,48,22500,0.000298528
5,49,22500,0.000869322
5,50,22500,0.00143021
5,51,22500,0.00198352
5,52,22500,0.00253155
5,53,22500,0.00307669
5,54,22500,0.00362133
5,55,22500,0.00416802
5,56,22500,0.00471936
5,57,22500,0.00527816
5,58,22500,0.00584739
5,59,22500,0.00643023
5,60,22500,0.00703016
5,61,22500,0.00765095
5,62,22500,0.00829677
5,63,22500,0.00897219
5,64,22500,0.00968232
5,65,22500,0.0104329
5,66,22500,0.0112302
5,67,22500,0.0120816
5,68,22500,0.0129952
5,69,22500,0.0139804
5,70,22500,0.0150477
5,71,22500,0.0162095
5,72,22500,0.0174797
5,73,22500,0.0188748
5,74,22500,0.0204136
5,75,22500,0.0221183
5,76,22500,0.0240148
5,77,22500,0.0261337
5,78,22500,0.0285109
5,79,22500,0.0311892
5,80,22500,0.0342194
5,81,22500,0.0376622
5,82,22500,0.0415903
5,83,22500,0.0460907
5,84,22500,0.0512679
5,85,22500,0.0572468
5,86,22500,0.0641759
5,87,22500,0.07223
5,88,22500,0.0816106
5,89,22500,0.0925412
5,90,22500,0.105252
