x,y,t,p
0,0,17500,0
0,1,17500,0
0,2,17500,0
0,3,17500,0
0,4,17500,0
0,5,17500,0
0,6,17500,0
0,7,17500,0
0,8,17500,0
0,9,17500,0
0,10,17500,0
0,11,17500,0
0,12,17500,0
0,13,17500,0
0,14,17500,0
0,15,17500,0
0,16,17500,0
0,17,17500,0
0,18,17500,0
0,19,17500,0
0,20,17500,0
0,21,17500,0
0,22,17500,0
0,23,17500,0
0,24,17500,0
0,25,17500,0
0,26,17500,0
0,27,17500,0
0,28,17500,0
0,29,17500,0
0,30,17500,0
0,31,17500,0
0,32,17500,0
0,33,17500,0
0,34,17500,0
0,35,17500,0
0,36,17500,0
0,37,17500,0
0,38,17500,0
0,39,17500,0
0,40,17500,0
0,41,17500,0
0,42,17500,0
0,43,17500,0
0,44,17500,0
0,45,17500,0
0,46,17500,0
0,47,17500,0
0,48,17500,0
0,49,17500,0
0,50,17500,0
0,51,17500,0
0,52,17500,0
0,53,17500,0
0,54,17500,0
0,55,17500,0
0,56,17500,0
0,57,17500,0
0,58,17500,0
0,59,17500,0
0,60,17500,0
0,61,17500,0
0,62,17500,0
0,63,17500,0
0,64,17500,0
0,65,17500,0
0,66,17500,0
0,67,17500,0
0,68,17500,0
0,69,17500,0
0,70,17500,0
0,71,17500,0
0,72,17500,0
0,73,17500,0
0,74,17500,0
0,75,17500,0
0,76,17500,0
0,77,17500,0
0,78,17500,0
0,79,17500,0
0,80,17500,0
0,81,17500,0
0,82,17500,0
0,83,17500,0
0,84,17500,0
0,85,17500,0
0,86,17500,0
0,87,17500,0
0,88,17500,0
0,89,17500,0
0,90,17500,0
0,91,17500,0
0,92,17500,0
0,93,17500,0
0,94,17500,0
0,95,17500,0
0,96,17500,0
0,97,17500,0
0,98,17500,0
0,99,17500,0
0,100,17500,0
1,0,17500,-10.6659
1,1,17500,-10.6659
1,2,17500,-6.83917
1,3,17500,-5.07611
1,4,17500,-3.84609
1,5,17500,-3.03195
1,6,17500,-2.45785
1,7,17500,-2.04046
1,8,17500,-1.72679
1,9,17500,-1.48458
1,10,17500,-1.2931
1,11,17500,-1.13869
1,12,17500,-1.01206
1,13,17500,-0.906741
1,14,17500,-0.818068
1,15,17500,-0.742633
1,16,17500,-0.677881
1,17,17500,-0.621859
1,18,17500,-0.573054
1,19,17500,-0.530273
1,20,17500,-0.492561
1,21,17500,-0.459148
1,22,17500,-0.429403
1,23,17500,-0.402806
1,24,17500,-0.378922
1,25,17500,-0.357387
1,26,17500,-0.33789
1,27,17500,-0.320166
1,28,17500,-0.30399
1,29,17500,-0.289163
1,30,17500,-0.275515
1,31,17500,-0.262895
1,32,17500,-0.251171
1,33,17500,-0.240225
1,34,17500,-0.229954
1,35,17500,-0.220264
1,36,17500,-0.21107
1,37,17500,-0.202298
1,38,17500,-0.193877
1,39,17500,-0.185744
1,40,17500,-0.177842
1,41,17500,-0.170117
1,42,17500,-0.162518
1,43,17500,-0.155
1,44,17500,-0.147518
1,45,17500,-0.14003
1,46,17500,-0.132497
1,47,17500,-0.12488
1,48,17500,-0.117143
1,49,17500,-0.109249
1,50,17500,-0.101163
1,51,17500,-0.0928501
1,52,17500,-0.0842743
1,53,17500,-0.0754003
1,54,17500,-0.066192
1,55,17500,-0.0566125
1,56,17500,-0.0466235
1,57,17500,-0.0361853
1,58,17500,-0.0252562
1,59,17500,-0.013792
1,60,17500,-0.00174605
1,61,17500,0.0109319
1,62,17500,0.0242959
1,63,17500,0.0384045
1,64,17500,0.0533216
1,65,17500,0.0691173
1,66,17500,0.0858688
1,67,17500,0.103662
1,68,17500,0.122592
1,69,17500,0.142765
1,70,17500,0.164303
1,71,17500,0.187342
1,72,17500,0.212037
1,73,17500,0.238565
1,74,17500,0.267132
1,75,17500,0.297974
1,76,17500,0.331367
1,77,17500,0.367634
1,78,17500,0.40716
1,79,17500,0.450398
1,80,17500,0.497896
1,81,17500,0.550314
1,82,17500,0.608462
1,83,17500,0.673338
1,84,17500,0.746192
1,85,17500,0.828605
1,86,17500,0.92261
1,87,17500,1.03086
1,88,17500,1.15689
1,89,17500,1.3055
1,90,17500,1.48335
1,91,17500,1.69993
1,92,17500,1.96913
1,93,17500,2.31191
1,94,17500,2.76067
1,95,17500,3.36837
1,96,17500,4.21653
1,97,17500,5.48032
1,98,17500,7.2552
1,99,17500,11.0882
1,100,17500,11.0882
2,0,17500,-6.9824
2,1,17500,-6.9824
2,2,17500,-5.01461
2,3,17500,-3.99982
2,4,17500,-3.17472
2,5,17500,-2.58062
2,6,17500,-2.13188
2,7,17500,-1.79005
2,8,17500,-1.52456
2,9,17500,-1.31493
2,10,17500,-1.14675
2,11,17500,-1.00982
2,12,17500,-0.89685
2,13,17500,-0.802538
2,14,17500,-0.722965
2,15,17500,-0.655191
2,16,17500,-0.59698
2,17,17500,-0.546606
2,18,17500,-0.502719
2,19,17500,-0.464248
2,20,17500,-0.430337
2,21,17500,-0.400289
2,22,17500,-0.373537
2,23,17500,-0.349611
2,24,17500,-0.32812
2,25,17500,-0.308735
2,26,17500,-0.291177
2,27,17500,-0.27521
2,28,17500,-0.26063
2,29,17500,-0.24726
2,30,17500,-0.234949
2,31,17500,-0.223562
2,32,17500,-0.212982
2,33,17500,-0.203106
2,34,17500,-0.19384
2,35,17500,-0.185103
2,36,17500,-0.176822
2,37,17500,-0.168928
2,38,17500,-0.161362
2,39,17500,-0.154068
2,40,17500,-0.146995
2,41,17500,-0.140098
2,42,17500,-0.133332
2,43,17500,-0.126657
2,44,17500,-0.120035
2,45,17500,-0.113429
2,46,17500,-0.106806
2,47,17500,-0.100132
2,48,17500,-0.0933755
2,49,17500,-0.0865051
2,50,17500,-0.0794902
2,51,17500,-0.0723002
2,52,17500,-0.0649049
2,53,17500,-0.0572733
2,54,17500,-0.0493744
2,55,17500,-0.041176
2,56,17500,-0.032645
2,57,17500,-0.0237468
2,58,17500,-0.0144453
2,59,17500,-0.00470188
2,60,17500,0.00552419
2,61,17500,0.0162768
2,62,17500,0.0276033
2,63,17500,0.0395552
2,64,17500,0.0521885
2,65,17500,0.065565
2,66,17500,0.0797529
2,67,17500,0.094828
2,68,17500,0.110875
2,69,17500,0.127989
2,70,17500,0.146276
2,71,17500,0.165859
2,72,17500,0.186876
2,73,17500,0.209486
2,74,17500,0.233872
2,75,17500,0.260247
2,76,17500,0.288859
2,77,17500,0.319998
2,78,17500,0.35401
2,79,17500,0.391304
2,80,17500,0.432373
2,81,17500,0.477813
2,82,17500,0.52835
2,83,17500,0.584881
2,84,17500,0.648524
2,85,17500,0.720685
2,86,17500,0.803159
2,87,17500,0.898264
2,88,17500,1.00904
2,89,17500,1.13951
2,90,17500,1.29512
2,91,17500,1.48334
2,92,17500,1.7145
2,93,17500,2.00322
2,94,17500,2.3701
2,95,17500,2.8459
2,96,17500,3.46827
2,97,17500,4.32474
2,98,17500,5.3641
2,99,17500,7.37536
2,100,17500,7.37536
3,0,17500,-5.847
3,1,17500,-5.847
3,2,17500,-4.71919
3,3,17500,-3.96126
3,4,17500,-3.2774
3,5,17500,-2.73968
3,6,17500,-2.30924
3,7,17500,-1.96687
3,8,17500,-1.69235
3,9,17500,-1.47035
3,10,17500,-1.289
3,11,17500,-1.13933
3,12,17500,-1.01455
3,13,17500,-0.909548
3,14,17500,-0.820403
3,15,17500,-0.744107
3,16,17500,-0.678325
3,17,17500,-0.621222
3,18,17500,-0.571344
3,19,17500,-0.527528
3,20,17500,-0.488834
3,21,17500,-0.454494
3,22,17500,-0.423877
3,23,17500,-0.396459
3,24,17500,-0.371801
3,25,17500,-0.349534
3,26,17500,-0.329346
3,27,17500,-0.310969
3,28,17500,-0.294173
3,29,17500,-0.27876
3,30,17500,-0.264555
3,31,17500,-0.251409
3,32,17500,-0.239188
3,33,17500,-0.227776
3,34,17500,-0.217066
3,35,17500,-0.206967
3,36,17500,-0.197394
3,37,17500,-0.188272
3,38,17500,-0.179533
3,39,17500,-0.171114
3,40,17500,-0.162957
3,41,17500,-0.15501
3,42,17500,-0.147224
3,43,17500,-0.139552
3,44,17500,-0.131953
3,45,17500,-0.124385
3,46,17500,-0.116809
3,47,17500,-0.109188
3,48,17500,-0.101485
3,49,17500,-0.0936667
3,50,17500,-0.0856971
3,51,17500,-0.0775421
3,52,17500,-0.0691674
3,53,17500,-0.0605382
3,54,17500,-0.0516191
3,55,17500,-0.0423741
3,56,17500,-0.0327656
3,57,17500,-0.0227545
3,58,17500,-0.0122998
3,59,17500,-0.00135804
3,60,17500,0.0101171
3,61,17500,0.0221753
3,62,17500,0.0348702
3,63,17500,0.0482601
3,64,17500,0.0624087
3,65,17500,0.0773859
3,66,17500,0.0932692
3,67,17500,0.110144
3,68,17500,0.128108
3,69,17500,0.147266
3,70,17500,0.167742
3,71,17500,0.189673
3,72,17500,0.213215
3,73,17500,0.238549
3,74,17500,0.265881
3,75,17500,0.295452
3,76,17500,0.32754
3,77,17500,0.362474
3,78,17500,0.400639
3,79,17500,0.442495
3,80,17500,0.488588
3,81,17500,0.53958
3,82,17500,0.596272
3,83,17500,0.659646
3,84,17500,0.730915
3,85,17500,0.811589
3,86,17500,0.90357
3,87,17500,1.00928
3,88,17500,1.13181
3,89,17500,1.27519
3,90,17500,1.44467
3,91,17500,1.64716
3,92,17500,1.89175
3,93,17500,2.19045
3,94,17500,2.55862
3,95,17500,3.0165
3,96,17500,3.58256
3,97,17500,4.29671
3,98,17500,5.08019
3,99,17500,6.2481
3,100,17500,6.2481
4,0,17500,-4.60089
4,1,17500,-4.60089
4,2,17500,-4.01315
4,3,17500,-3.52112
4,4,17500,-3.03291
4,5,17500,-2.61374
4,6,17500,-2.25625
4,7,17500,-1.95717
4,8,17500,-1.7077
4,9,17500,-1.4996
4,10,17500,-1.32539
4,11,17500,-1.17879
4,12,17500,-1.0547
4,13,17500,-0.948994
4,14,17500,-0.858367
4,15,17500,-0.780186
4,16,17500,-0.71234
4,17,17500,-0.653129
4,18,17500,-0.601179
4,19,17500,-0.555368
4,20,17500,-0.514778
4,21,17500,-0.478653
4,22,17500,-0.446363
4,23,17500,-0.41738
4,24,17500,-0.391261
4,25,17500,-0.367632
4,26,17500,-0.34617
4,27,17500,-0.326603
4,28,17500,-0.308693
4,29,17500,-0.292235
4,30,17500,-0.27705
4,31,17500,-0.262982
4,32,17500,-0.249891
4,33,17500,-0.237656
4,34,17500,-0.226169
4,35,17500,-0.215331
4,36,17500,-0.205056
4,37,17500,-0.195265
4,38,17500,-0.185886
4,39,17500,-0.176854
4,40,17500,-0.168109
4,41,17500,-0.159596
4,42,17500,-0.151263
4,43,17500,-0.143063
