x,y,t,p
0,0,25000,0
0,1,25000,0
0,2,25000,0
0,3,25000,0
0,4,25000,0
0,5,25000,0
0,6,25000,0
0,7,25000,0
0,8,25000,0
0,9,25000,0
0,10,25000,0
0,11,25000,0
0,12,25000,0
0,13,25000,0
0,14,25000,0
0,15,25000,0
0,16,25000,0
0,17,25000,0
0,18,25000,0
0,19,25000,0
0,20,25000,0
0,21,25000,0
0,22,25000,0
0,23,25000,0
0,24,25000,0
0,25,25000,0
0,26,25000,0
0,27,25000,0
0,28,25000,0
0,29,25000,0
0,30,25000,0
0,31,25000,0
0,32,25000,0
0,33,25000,0
0,34,25000,0
0,35,25000,0
0,36,25000,0
0,37,25000,0
0,38,25000,0
0,39,25000,0
0,40,25000,0
0,41,25000,0
0,42,25000,0
0,43,25000,0
0,44,25000,0
0,45,25000,0
0,46,25000,0
0,47,25000,0
0,48,25000,0
0,49,25000,0
0,50,25000,0
0,51,25000,0
0,52,25000,0
0,53,25000,0
0,54,25000,0
0,55,25000,0
0,56,25000,0
0,57,25000,0
0,58,25000,0
0,59,25000,0
0,60,25000,0
0,61,25000,0
0,62,25000,0
0,63,25000,0
0,64,25000,0
0,65,25000,0
0,66,25000,0
0,67,25000,0
0,68,25000,0
0,69,25000,0
0,70,25000,0
0,71,25000,0
0,72,25000,0
0,73,25000,0
0,74,25000,0
0,75,25000,0
0,76,25000,0
0,77,25000,0
0,78,25000,0
0,79,25000,0
0,80,25000,0
0,81,25000,0
0,82,25000,0
0,83,25000,0
0,84,25000,0
0,85,25000,0
0,86,25000,0
0,87,25000,0
0,88,25000,0
0,89,25000,0
0,90,25000,0
0,91,25000,0
0,92,25000,0
0,93,25000,0
0,94,25000,0
0,95,25000,0
0,96,25000,0
0,97,25000,0
0,98,25000,0
0,99,25000,0
0,100,25000,0
1,0,25000,-10.6659
1,1,25000,-10.6659
1,2,25000,-6.83917
1,3,25000,-5.07611
1,4,25000,-3.84609
1,5,25000,-3.03195
1,6,25000,-2.45784
1,7,25000,-2.04046
1,8,25000,-1.72679
1,9,25000,-1.48458
1,10,25000,-1.29309
1,11,25000,-1.13868
1,12,25000,-1.01206
1,13,25000,-0.906736
1,14,25000,-0.818063
1,15,25000,-0.742628
1,16,25000,-0.677875
1,17,25000,-0.621853
1,18,25000,-0.573047
1,19,25000,-0.530265
1,20,25000,-0.492553
1,21,25000,-0.45914
1,22,25000,-0.429395
1,23,25000,-0.402798
1,24,25000,-0.378914
1,25,25000,-0.357379
1,26,25000,-0.337882
1,27,25000,-0.320159
1,28,25000,-0.303982
1,29,25000,-0.289156
1,30,25000,-0.275508
1,31,25000,-0.262888
1,32,25000,-0.251164
1,33,25000,-0.240219
1,34,25000,-0.229948
1,35,25000,-0.220258
1,36,25000,-0.211065
1,37,25000,-0.202293
1,38,25000,-0.193873
1,39,25000,-0.185741
1,40,25000,-0.17784
1,41,25000,-0.170115
1,42,25000,-0.162517
1,43,25000,-0.154999
1,44,25000,-0.147517
1,45,25000,-0.14003
1,46,25000,-0.132497
1,47,25000,-0.124881
1,48,25000,-0.117145
1,49,25000,-0.109252
1,50,25000,-0.101166
1,51,25000,-0.0928537
1,52,25000,-0.0842783
1,53,25000,-0.0754048
1,54,25000,-0.0661969
1,55,25000,-0.0566179
1,56,25000,-0.0466293
1,57,25000,-0.0361914
1,58,25000,-0.0252626
1,59,25000,-0.0137987
1,60,25000,-0.00175302
1,61,25000,0.0109247
1,62,25000,0.0242885
1,63,25000,0.038397
1,64,25000,0.053314
1,65,25000,0.0691096
1,66,25000,0.0858611
1,67,25000,0.103654
1,68,25000,0.122584
1,69,25000,0.142758
1,70,25000,0.164296
1,71,25000,0.187335
1,72,25000,0.21203
1,73,25000,0.238558
1,74,25000,0.267125
1,75,25000,0.297967
1,76,25000,0.33136
1,77,25000,0.367629
1,78,25000,0.407154
1,79,25000,0.450393
1,80,25000,0.497891
1,81,25000,0.55031
1,82,25000,0.608458
1,83,25000,0.673335
1,84,25000,0.746189
1,85,25000,0.828602
1,86,25000,0.922608
1,87,25000,1.03086
1,88,25000,1.15689
1,89,25000,1.3055
1,90,25000,1.48335
1,91,25000,1.69993
1,92,25000,1.96913
1,93,25000,2.31191
1,94,25000,2.76067
1,95,25000,3.36837
1,96,25000,4.21654
1,97,25000,5.48032
1,98,25000,7.2552
1,99,25000,11.0882
1,100,25000,11.0882
