x,y,t,p
0,0,20000,0
0,1,20000,0
0,2,20000,0
0,3,20000,0
0,4,20000,0
0,5,20000,0
0,6,20000,0
0,7,20000,0
0,8,20000,0
0,9,20000,0
0,10,20000,0
0,11,20000,0
0,12,20000,0
0,13,20000,0
0,14,20000,0
0,15,20000,0
0,16,20000,0
0,17,20000,0
0,18,20000,0
0,19,20000,0
0,20,20000,0
0,21,20000,0
0,22,20000,0
0,23,20000,0
0,24,20000,0
0,25,20000,0
0,26,20000,0
0,27,20000,0
0,28,20000,0
0,29,20000,0
0,30,20000,0
0,31,20000,0
0,32,20000,0
0,33,20000,0
0,34,20000,0
0,35,20000,0
0,36,20000,0
0,37,20000,0
0,38,20000,0
0,39,20000,0
0,40,20000,0
0,41,20000,0
0,42,20000,0
0,43,20000,0
0,44,20000,0
0,45,20000,0
0,46,20000,0
0,47,20000,0
0,48,20000,0
0,49,20000,0
0,50,20000,0
0,51,20000,0
0,52,20000,0
0,53,20000,0
0,54,20000,0
0,55,20000,0
0,56,20000,0
0,57,20000,0
0,58,20000,0
0,59,20000,0
0,60,20000,0
0,61,20000,0
0,62,20000,0
0,63,20000,0
0,64,20000,0
0,65,20000,0
0,66,20000,0
0,67,20000,0
0,68,20000,0
0,69,20000,0
0,70,20000,0
0,71,20000,0
0,72,20000,0
0,73,20000,0
0,74,20000,0
0,75,20000,0
0,76,20000,0
0,77,20000,0
0,78,20000,0
0,79,20000,0
0,80,20000,0
0,81,20000,0
0,82,20000,0
0,83,20000,0
0,84,20000,0
0,85,20000,0
0,86,20000,0
0,87,20000,0
0,88,20000,0
0,89,20000,0
0,90,20000,0
0,91,20000,0
0,92,20000,0
0,93,20000,0
0,94,20000,0
0,95,20000,0
0,96,20000,0
0,97,20000,0
0,98,20000,0
0,99,20000,0
0,100,20000,0
1,0,20000,-10.6659
1,1,20000,-10.6659
1,2,20000,-6.83917
1,3,20000,-5.07611
1,4,20000,-3.84609
1,5,20000,-3.03195
1,6,20000,-2.45784
1,7,20000,-2.04046
1,8,20000,-1.72679
1,9,20000,-1.48458
1,10,20000,-1.29309
1,11,20000,-1.13868
1,12,20000,-1.01206
1,13,20000,-0.906737
1,14,20000,-0.818064
1,15,20000,-0.742629
1,16,20000,-0.677876
1,17,20000,-0.621854
1,18,20000,-0.573049
1,19,20000,-0.530267
1,20,20000,-0.492555
1,21,20000,-0.459142
1,22,20000,-0.429397
1,23,20000,-0.4028
1,24,20000,-0.378916
1,25,20000,-0.357381
1,26,20000,-0.337884
1,27,20000,-0.320161
1,28,20000,-0.303984
1,29,20000,-0.289158
1,30,20000,-0.27551
1,31,20000,-0.26289
1,32,20000,-0.251166
1,33,20000,-0.240221
1,34,20000,-0.22995
1,35,20000,-0.22026
1,36,20000,-0.211067
1,37,20000,-0.202294
1,38,20000,-0.193874
1,39,20000,-0.185742
1,40,20000,-0.17784
1,41,20000,-0.170115
1,42,20000,-0.162517
1,43,20000,-0.154999
1,44,20000,-0.147517
1,45,20000,-0.14003
1,46,20000,-0.132497
1,47,20000,-0.124881
1,48,20000,-0.117144
1,49,20000,-0.109251
1,50,20000,-0.101166
1,51,20000,-0.0928528
1,52,20000,-0.0842773
1,53,20000,-0.0754036
1,54,20000,-0.0661957
1,55,20000,-0.0566165
1,56,20000,-0.0466278
1,57,20000,-0.0361898
1,58,20000,-0.0252609
1,59,20000,-0.013797
1,60,20000,-0.00175123
1,61,20000,0.0109266
1,62,20000,0.0242904
1,63,20000,0.0383989
1,64,20000,0.053316
1,65,20000,0.0691116
1,66,20000,0.085863
1,67,20000,0.103656
1,68,20000,0.122586
1,69,20000,0.14276
1,70,20000,0.164298
1,71,20000,0.187337
1,72,20000,0.212032
1,73,20000,0.23856
1,74,20000,0.267127
1,75,20000,0.297969
1,76,20000,0.331362
1,77,20000,0.36763
1,78,20000,0.407156
1,79,20000,0.450394
1,80,20000,0.497892
1,81,20000,0.550311
1,82,20000,0.608459
1,83,20000,0.673336
1,84,20000,0.74619
1,85,20000,0.828603
1,86,20000,0.922608
1,87,20000,1.03086
1,88,20000,1.15689
1,89,20000,1.3055
1,90,20000,1.48335
1,91,20000,1.69993
1,92,20000,1.96913
1,93,20000,2.31191
1,94,20000,2.76067
1,95,20000,3.36837
1,96,20000,4.21653
1,97,20000,5.48032
1,98,20000,7.2552
1,99,20000,11.0882
1,100,20000,11.0882
2,0,20000,-6.9824
2,1,20000,-6.9824
2,2,20000,-5.01461
2,3,20000,-3.99982
2,4,20000,-3.17472
2,5,20000,-2.58061
2,6,20000,-2.13188
2,7,20000,-1.79005
2,8,20000,-1.52455
2,9,20000,-1.31493
2,10,20000,-1.14674
2,11,20000,-1.00982
2,12,20000,-0.896848
2,13,20000,-0.802536
2,14,20000,-0.722962
2,15,20000,-0.655188
