x,y,t,p
0,0,22500,0
0,1,22500,0
0,2,22500,0
0,3,22500,0
0,4,22500,0
0,5,22500,0
0,6,22500,0
0,7,22500,0
0,8,22500,0
0,9,22500,0
0,10,22500,0
0,11,22500,0
0,12,22500,0
0,13,22500,0
0,14,22500,0
0,15,22500,0
0,16,22500,0
0,17,22500,0
0,18,22500,0
0,19,22500,0
0,20,22500,0
0,21,22500,0
0,22,22500,0
0,23,22500,0
0,24,22500,0
0,25,22500,0
0,26,22500,0
0,27,22500,0
0,28,22500,0
0,29,22500,0
0,30,22500,0
0,31,22500,0
0,32,22500,0
0,33,22500,0
0,34,22500,0
0,35,22500,0
0,36,22500,0
0,37,22500,0
0,38,22500,0
0,39,22500,0
0,40,22500,0
0,41,22500,0
0,42,22500,0
0,43,22500,0
0,44,22500,0
0,45,22500,0
0,46,22500,0
0,47,22500,0
0,48,22500,0
0,49,22500,0
0,50,22500,0
0,51,22500,0
0,52,22500,0
0,53,22500,0
0,54,22500,0
0,55,22500,0
0,56,22500,0
0,57,22500,0
0,58,22500,0
0,59,22500,0
0,60,22500,0
0,61,22500,0
0,62,22500,0
0,63,22500,0
0,64,22500,0
0,65,22500,0
0,66,22500,0
0,67,22500,0
0,68,22500,0
0,69,22500,0
0,70,22500,0
0,71,22500,0
0,72,22500,0
0,73,22500,0
0,74,22500,0
0,75,22500,0
0,76,22500,0
0,77,22500,0
0,78,22500,0
0,79,22500,0
0,80,22500,0
0,81,22500,0
0,82,22500,0
0,83,22500,0
0,84,22500,0
0,85,22500,0
0,86,22500,0
0,87,22500,0
0,88,22500,0
0,89,22500,0
0,90,22500,0
0,91,22500,0
0,92,22500,0
0,93,22500,0
0,94,22500,0
0,95,22500,0
0,96,22500,0
0,97,22500,0
0,98,22500,0
0,99,22500,0
0,100,22500,0
1,0,22500,-10.6659
1,1,22500,-10.6659
1,2,22500,-6.83917
1,3,22500,-5.07611
1,4,22500,-3.84609
1,5,22500,-3.03195
1,6,22500,-2.45784
1,7,22500,-2.04046
1,8,22500,-1.72679
1,9,22500,-1.48458
1,10,22500,-1.29309
1,11,22500,-1.13868
1,12,22500,-1.01206
1,13,22500,-0.906736
1,14,22500,-0.818063
1,15,22500,-0.742628
1,16,22500,-0.677875
1,17,22500,-0.621853
1,18,22500,-0.573048
1,19,22500,-0.530266
1,20,22500,-0.492554
1,21,22500,-0.45914
1,22,22500,-0.429396
1,23,22500,-0.402799
1,24,22500,-0.378915
1,25,22500,-0.357379
1,26,22500,-0.337882
1,27,22500,-0.320159
1,28,22500,-0.303983
1,29,22500,-0.289156
1,30,22500,-0.275508
1,31,22500,-0.262888
1,32,22500,-0.251164
1,33,22500,-0.240219
1,34,22500,-0.229948
1,35,22500,-0.220259
1,36,22500,-0.211066
1,37,22500,-0.202294
1,38,22500,-0.193873
1,39,22500,-0.185741
1,40,22500,-0.17784
1,41,22500,-0.170115
1,42,22500,-0.162517
1,43,22500,-0.154999
1,44,22500,-0.147517
1,45,22500,-0.14003
1,46,22500,-0.132497
1,47,22500,-0.124881
1,48,22500,-0.117145
1,49,22500,-0.109252
1,50,22500,-0.101166
1,51,22500,-0.0928535
1,52,22500,-0.0842781
1,53,22500,-0.0754045
1,54,22500,-0.0661967
1,55,22500,-0.0566176
1,56,22500,-0.0466289
1,57,22500,-0.0361911
1,58,22500,-0.0252622
1,59,22500,-0.0137984
1,60,22500,-0.00175264
1,61,22500,0.0109251
1,62,22500,0.0242889
1,63,22500,0.0383974
1,64,22500,0.0533144
1,65,22500,0.06911
1,66,22500,0.0858615
1,67,22500,0.103654
1,68,22500,0.122584
1,69,22500,0.142758
1,70,22500,0.164296
1,71,22500,0.187335
1,72,22500,0.21203
1,73,22500,0.238559
1,74,22500,0.267125
1,75,22500,0.297967
1,76,22500,0.331361
1,77,22500,0.367629
1,78,22500,0.407155
1,79,22500,0.450393
1,80,22500,0.497891
1,81,22500,0.55031
1,82,22500,0.608458
1,83,22500,0.673335
1,84,22500,0.746189
1,85,22500,0.828602
1,86,22500,0.922608
1,87,22500,1.03086
1,88,22500,1.15689
1,89,22500,1.3055
1,90,22500,1.48335
1,91,22500,1.69993
1,92,22500,1.96913
1,93,22500,2.31191
1,94,22500,2.76067
1,95,22500,3.36837
1,96,22500,4.21653
1,97,22500,5.48032
1,98,22500,7.2552
1,99,22500,11.0882
1,100,22500,11.0882
2,0,22500,-6.9824
2,1,22500,-6.9824
2,2,22500,-5.01461
2,3,22500,-3.99982
2,4,22500,-3.17472
2,5,22500,-2.58061
2,6,22500,-2.13188
2,7,22500,-1.79005
2,8,22500,-1.52455
2,9,22500,-1.31493
2,10,22500,-1.14674
2,11,22500,-1.00981
2,12,22500,-0.896847
2,13,22500,-0.802535
2,14,22500,-0.722961
2,15,22500,-0.655187
2,16,22500,-0.596976
2,17,22500,-0.546602
2,18,22500,-0.502715
2,19,22500,-0.464244
2,20,22500,-0.430332
2,21,22500,-0.400284
2,22,22500,-0.373532
2,23,22500,-0.349606
2,24,22500,-0.328115
2,25,22500,-0.30873
2,26,22500,-0.291172
2,27,22500,-0.275205
2,28,22500,-0.260625
2,29,22500,-0.247255
2,30,22500,-0.234944
2,31,22500,-0.223557
2,32,22500,-0.212978
2,33,22500,-0.203102
2,34,22500,-0.193836
2,35,22500,-0.1851
2,36,22500,-0.176819
2,37,22500,-0.168925
2,38,22500,-0.161359
2,39,22500,-0.154066
2,40,22500,-0.146994
2,41,22500,-0.140097
2,42,22500,-0.133331
2,43,22500,-0.126656
2,44,22500,-0.120034
2,45,22500,-0.113429
2,46,22500,-0.106807
2,47,22500,-0.100133
2,48,22500,-0.093377
2,49,22500,-0.086507
2,50,22500,-0.0794924
2,51,22500,-0.0723028
2,52,22500,-0.0649078
2,53,22500,-0.0572766
2,54,22500,-0.0493779
2,55,22500,-0.0411798
2,56,22500,-0.032649
2,57,22500,-0.0237511
2,58,22500,-0.0144497
2,59,22500,-0.00470654
2,60,22500,0.00551937
2,61,22500,0.0162719
2,62,22500,0.0275983
2,63,22500,0.03955
2,64,22500,0.0521833
2,65,22500,0.0655598
2,66,22500,0.0797477
2,67,22500,0.0948228
2,68,22500,0.11087
2,69,22500,0.127983
2,70,22500,0.146271
2,71,22500,0.165854
2,72,22500,0.186871
2,73,22500,0.209481
2,74,22500,0.233868
2,75,22500,0.260243
2,76,22500,0.288854
2,77,22500,0.319994
2,78,22500,0.354006
2,79,22500,0.391301
2,80,22500,0.43237
2,81,22500,0.47781
2,82,22500,0.528347
2,83,22500,0.584879
2,84,22500,0.648522
2,85,22500,0.720683
2,86,22500,0.803158
2,87,22500,0.898263
2,88,22500,1.00904
2,89,22500,1.13951
2,90,22500,1.29512
2,91,22500,1.48334
2,92,22500,1.7145
2,93,22500,2.00322
2,94,22500,2.3701
2,95,22500,2.8459
2,96,22500,3.46827
2,97,22500,4.32474
2,98,22500,5.3641
2,99,22500,7.37536
2,100,22500,7.37536
3,0,22500,-5.847
3,1,22500,-5.847
3,2,22500,-4.71919
3,3,22500,-3.96125
3,4,22500,-3.2774
3,5,22500,-2.73968
3,6,22500,-2.30924
3,7,22500,-1.96687
3,8,22500,-1.69235
3,9,22500,-1.47035
3,10,22500,-1.289
3,11,22500,-1.13932
3,12,22500,-1.01455
3,13,22500,-0.909545
3,14,22500,-0.820399
3,15,22500,-0.744104
3,16,22500,-0.678321
3,17,22500,-0.621217
3,18,22500,-0.571339
3,19,22500,-0.527524
3,20,22500,-0.488829
3,21,22500,-0.454489
3,22,22500,-0.423872
3,23,22500,-0.396453
3,24,22500,-0.371795
3,25,22500,-0.349529
3,26,22500,-0.329341
3,27,22500,-0.310964
3,28,22500,-0.294168
3,29,22500,-0.278755
3,30,22500,-0.264551
3,31,22500,-0.251405
3,32,22500,-0.239184
3,33,22500,-0.227772
3,34,22500,-0.217062
3,35,22500,-0.206964
3,36,22500,-0.197391
3,37,22500,-0.18827
3,38,22500,-0.179531
3,39,22500,-0.171112
3,40,22500,-0.162955
3,41,22500,-0.155009
3,42,22500,-0.147223
3,43,22500,-0.139552
3,44,22500,-0.131953
3,45,22500,-0.124385
3,46,22500,-0.11681
3,47,22500,-0.109189
3,48,22500,-0.101487
3,49,22500,-0.0936688
3,50,22500,-0.0856995
3,51,22500,-0.0775449
3,52,22500,-0.0691705
3,53,22500,-0.0605416
3,54,22500,-0.0516228
3,55,22500,-0.0423781
3,56,22500,-0.0327698
3,57,22500,-0.0227589
3,58,22500,-0.0123044
3,59,22500,-0.00136285
3,60,22500,0.0101121
3,61,22500,0.0221702
3,62,22500,0.034865
3,63,22500,0.0482548
3,64,22500,0.0624034
3,65,22500,0.0773806
3,66,22500,0.0932639
3,67,22500,0.110139
3,68,22500,0.128102
3,69,22500,0.147261
3,70,22500,0.167737
3,71,22500,0.189668
3,72,22500,0.21321
3,73,22500,0.238544
3,74,22500,0.265877
3,75,22500,0.295447
3,76,22500,0.327536
3,77,22500,0.36247
3,78,22500,0.400636
3,79,22500,0.442491
3,80,22500,0.488585
3,81,22500,0.539577
3,82,22500,0.59627
3,83,22500,0.659644
3,84,22500,0.730913
3,85,22500,0.811587
3,86,22500,0.903569
3,87,22500,1.00928
3,88,22500,1.13181
3,89,22500,1.27519
3,90,22500,1.44467
3,91,22500,1.64716
3,92,22500,1.89175
3,93,22500,2.19045
3,94,22500,2.55862
3,95,22500,3.01651
3,96,22500,3.58256
3,97,22500,4.29672
3,98,22500,5.0802
3,99,22500,6.24811
3,100,22500,6.24811
4,0,22500,-4.60089
4,1,22500,-4.60089
4,2,22500,-4.01315
4,3,22500,-3.52112
4,4,22500,-3.03291
4,5,22500,-2.61374
4,6,22500,-2.25625
4,7,22500,-1.95717
4,8,22500,-1.7077
4,9,22500,-1.4996
4,10,22500,-1.32538
4,11,22500,-1.17879
4,12,22500,-1.0547
4,13,22500,-0.948991
4,14,22500,-0.858363
4,15,22500,-0.780182
4,16,22500,-0.712336
4,17,22500,-0.653125
4,18,22500,-0.601174
4,19,22500,-0.555363
4,20,22500,-0.514774
4,21,22500,-0.478649
4,22,22500,-0.446358
4,23,22500,-0.417375
4,24,22500,-0.391256
4,25,22500,-0.367627
4,26,22500,-0.346166
4,27,22500,-0.326599
4,28,22500,-0.308689
4,29,22500,-0.292231
4,30,22500,-0.277046
4,31,22500,-0.262978
4,32,22500,-0.249887
4,33,22500,-0.237653
4,34,22500,-0.226166
4,35,22500,-0.215328
4,36,22500,-0.205054
4,37,22500,-0.195263
4,38,22500,-0.185884
4,39,22500,-0.176852
4,40,22500,-0.168108
4,41,22500,-0.159595
4,42,22500,-0.151263
4,43,22500,-0.143063
4,44,22500,-0.134951
4,45,22500,-0.126884
4,46,22500,-0.118821
4,47,22500,-0.110723
4,48,22500,-0.102553
4,49,22500,-0.094274
4,50,22500,-0.085849
4,51,22500,-0.0772425
4,52,22500,-0.0684184
4,53,22500,-0.0593403
4,54,22500,-0.0499714
4,55,22500,-0.0402737
4,56,22500,-0.0302078
4,57,22500,-0.0197329
4,58,22500,-0.00880605
4,59,22500,0.00261837
4,60,22500,0.0145888
4,61,22500,0.0271573
4,62,22500,0.0403801
4,63,22500,0.054318
4,64,22500,0.0690379
4,65,22500,0.0846129
4,66,22500,0.101124
4,67,22500,0.11866
4,68,22500,0.137323
4,69,22500,0.157223
4,70,22500,0.178487
4,71,22500,0.201259
4,72,22500,0.225701
4,73,22500,0.251999
4,74,22500,0.280366
4,75,22500,0.31105
4,76,22500,0.344337
4,77,22500,0.38056
4,78,22500,0.420113
4,79,22500,0.463458
4,80,22500,0.511144
4,81,22500,0.563828
4,82,22500,0.622301
4,83,22500,0.687516
4,84,22500,0.760639
4,85,22500,0.843095
4,86,22500,0.936643
4,87,22500,1.04346
4,88,22500,1.16627
4,89,22500,1.30844
4,90,22500,1.4742
4,91,22500,1.66875
4,92,22500,1.89845
4,93,22500,2.17086
4,94,22500,2.49419
4,95,22500,2.87723
4,96,22500,3.32265
4,97,22500,3.83842
4,98,22500,4.35488
4,99,22500,4.97763
4,100,22500,4.97763
5,0,22500,-3.74461
5,1,22500,-3.74461
5,2,22500,-3.45777
5,3,22500,-3.14112
5,4,22500,-2.79649
5,5,22500,-2.47426
5,6,22500,-2.18273
5,7,22500,-1.9269
5,8,22500,-1.70527
5,9,22500,-1.51462
5,10,22500,-1.35098
5,11,22500,-1.21044
5,12,22500,-1.08947
5,13,22500,-0.984977
5,14,22500,-0.894367
5,15,22500,-0.815453
5,16,22500,-0.746422
5,17,22500,-0.685769
5,18,22500,-0.632245
5,19,22500,-0.584814
5,20,22500,-0.542607
5,21,22500,-0.504901
5,22,22500,-0.471084
5,23,22500,-0.440641
5,24,22500,-0.413133
5,25,22500,-0.388185
5,26,22500,-0.365477
5,27,22500,-0.344731
5,28,22500,-0.325706
5,29,22500,-0.308194
5,30,22500,-0.292012
5,31,22500,-0.276999
5,32,22500,-0.263012
5,33,22500,-0.249926
5,34,22500,-0.237627
5,35,22500,-0.226016
5,36,22500,-0.215002
5,37,22500,-0.204502
5,38,22500,-0.194443
5,39,22500,-0.184755
5,40,22500,-0.175378
5,41,22500,-0.166252
5,42,22500,-0.157325
5,43,22500,-0.148546
5,44,22500,-0.139868
5,45,22500,-0.131247
5,46,22500,-0.12264
5,47,22500,-0.114006
5,48,22500,-0.105305
5,49,22500,-0.0964997
5,50,22500,-0.087551
5,51,22500,-0.0784214
5,52,22500,-0.0690732
5,53,22500,-0.0594682
5,54,22500,-0.0495677
5,55,22500,-0.0393319
5,56,22500,-0.0287195
5,57,22500,-0.0176879
5,58,22500,-0.00619178
5,59,22500,0.00581637
5,60,22500,0.0183873
5,61,22500,0.0315755
5,62,22500,0.0454395
5,63,22500,0.0600431
5,64,22500,0.0754557
5,65,22500,0.0917535
5,66,22500,0.109021
5,67,22500,0.12735
5,68,22500,0.146845
5,69,22500,0.167622
5,70,22500,0.189811
5,71,22500,0.21356
5,72,22500,0.239034
5,73,22500,0.266424
5,74,22500,0.295946
5,75,22500,0.327852
5,76,22500,0.362428
5,77,22500,0.400009
5,78,22500,0.440985
5,79,22500,0.485812
5,80,22500,0.535027
5,81,22500,0.589264
5,82,22500,0.649276
5,83,22500,0.715961
5,84,22500,0.790394
5,85,22500,0.873863
5,86,22500,0.967921
5,87,22500,1.07443
5,88,22500,1.19563
5,89,22500,1.33418
5,90,22500,1.49321
5,91,22500,1.6763
5,92,22500,1.88738
5,93,22500,2.13039
5,94,22500,2.40844
5,95,22500,2.72286
5,96,22500,3.06809
5,97,22500,3.43609
5,98,22500,3.77347
5,99,22500,4.08815
5,100,22500,4.08815
6,0,22500,-3.09852
6,1,22500,-3.09852
6,2,22500,-2.97392
6,3,22500,-2.77619
6,4,22500,-2.53984
6,5,22500,-2.29963
6,6,22500,-2.06947
6,7,22500,-1.85782
6,8,22500,-1.66742
